,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,ref,date
0,China,80817,+3,3177.0,,64152.0,13488,4020.0,56.1,https://web.archive.org/web/20200313/https://www.worldometers.info/coronavirus/,2020-03-13
1,Italy,17660,"+2,547",1266.0,250.0,1439.0,14955,1328.0,292.1,https://web.archive.org/web/20200313/https://www.worldometers.info/coronavirus/,2020-03-13
2,Iran,11364,"+1,289",514.0,85.0,3529.0,7321,,135.3,https://web.archive.org/web/20200313/https://www.worldometers.info/coronavirus/,2020-03-13
3,S. Korea,7979,+110,71.0,5.0,510.0,7398,93.0,155.6,https://web.archive.org/web/20200313/https://www.worldometers.info/coronavirus/,2020-03-13
4,Spain,5232,"+2,086",133.0,47.0,193.0,4906,190.0,111.9,https://web.archive.org/web/20200313/https://www.worldometers.info/coronavirus/,2020-03-13
5,Germany,3675,+930,8.0,2.0,46.0,3621,9.0,43.9,https://web.archive.org/web/20200313/https://www.worldometers.info/coronavirus/,2020-03-13
6,France,3661,+785,79.0,18.0,12.0,3570,154.0,56.1,https://web.archive.org/web/20200313/https://www.worldometers.info/coronavirus/,2020-03-13
7,USA,2269,+572,48.0,7.0,41.0,2180,10.0,6.9,https://web.archive.org/web/20200313/https://www.worldometers.info/coronavirus/,2020-03-13
8,Switzerland,1139,+271,11.0,4.0,4.0,1124,,131.6,https://web.archive.org/web/20200313/https://www.worldometers.info/coronavirus/,2020-03-13
9,Norway,996,+196,1.0,,1.0,994,27.0,183.7,https://web.archive.org/web/20200313/https://www.worldometers.info/coronavirus/,2020-03-13
10,Sweden,814,+127,1.0,,1.0,812,2.0,80.6,https://web.archive.org/web/20200313/https://www.worldometers.info/coronavirus/,2020-03-13
11,Netherlands,804,+190,10.0,5.0,2.0,792,1.0,46.9,https://web.archive.org/web/20200313/https://www.worldometers.info/coronavirus/,2020-03-13
12,Denmark,801,+127,,,1.0,800,2.0,138.3,https://web.archive.org/web/20200313/https://www.worldometers.info/coronavirus/,2020-03-13
