,"Country, Other",Total Cases,New Cases,Total Deaths,NewDeaths,Total Recovered,"Serious, Critical",Region,ref,date
0,China,77666,7.0,2664.0,1.0,27656.0,9126.0,Asia,https://web.archive.org/web/20200225/https://www.worldometers.info/coronavirus/,2020-02-25
1,S. Korea,977,144.0,11.0,3.0,22.0,6.0,Asia,https://web.archive.org/web/20200225/https://www.worldometers.info/coronavirus/,2020-02-25
2,Diamond Princess,691,,4.0,1.0,10.0,35.0,,https://web.archive.org/web/20200225/https://www.worldometers.info/coronavirus/,2020-02-25
3,Italy,323,94.0,11.0,4.0,2.0,19.0,Europe,https://web.archive.org/web/20200225/https://www.worldometers.info/coronavirus/,2020-02-25
4,Japan,161,2.0,1.0,,23.0,7.0,Asia,https://web.archive.org/web/20200225/https://www.worldometers.info/coronavirus/,2020-02-25
5,Iran,95,34.0,16.0,4.0,25.0,,Asia,https://web.archive.org/web/20200225/https://www.worldometers.info/coronavirus/,2020-02-25
6,Singapore,91,1.0,,,58.0,7.0,Asia,https://web.archive.org/web/20200225/https://www.worldometers.info/coronavirus/,2020-02-25
7,Hong Kong,85,4.0,2.0,,18.0,6.0,Asia,https://web.archive.org/web/20200225/https://www.worldometers.info/coronavirus/,2020-02-25
8,USA,57,4.0,,,6.0,,N.America,https://web.archive.org/web/20200225/https://www.worldometers.info/coronavirus/,2020-02-25
9,Thailand,37,2.0,,,22.0,2.0,Asia,https://web.archive.org/web/20200225/https://www.worldometers.info/coronavirus/,2020-02-25
10,Taiwan,31,1.0,1.0,,5.0,1.0,Asia,https://web.archive.org/web/20200225/https://www.worldometers.info/coronavirus/,2020-02-25
11,Bahrain,23,21.0,,,,,Asia,https://web.archive.org/web/20200225/https://www.worldometers.info/coronavirus/,2020-02-25
12,Australia,22,,,,15.0,,Oceania,https://web.archive.org/web/20200225/https://www.worldometers.info/coronavirus/,2020-02-25
13,Malaysia,22,,,,20.0,,Asia,https://web.archive.org/web/20200225/https://www.worldometers.info/coronavirus/,2020-02-25
14,Germany,18,2.0,,,15.0,1.0,Europe,https://web.archive.org/web/20200225/https://www.worldometers.info/coronavirus/,2020-02-25
15,Vietnam,16,,,,16.0,,Asia,https://web.archive.org/web/20200225/https://www.worldometers.info/coronavirus/,2020-02-25
16,France,14,2.0,1.0,,11.0,,Europe,https://web.archive.org/web/20200225/https://www.worldometers.info/coronavirus/,2020-02-25
17,U.K.,13,,,,8.0,,Europe,https://web.archive.org/web/20200225/https://www.worldometers.info/coronavirus/,2020-02-25
18,U.A.E.,13,,,,3.0,2.0,Asia,https://web.archive.org/web/20200225/https://www.worldometers.info/coronavirus/,2020-02-25
19,Canada,11,,,,3.0,,N.America,https://web.archive.org/web/20200225/https://www.worldometers.info/coronavirus/,2020-02-25
20,Kuwait,11,6.0,,,,,Asia,https://web.archive.org/web/20200225/https://www.worldometers.info/coronavirus/,2020-02-25
21,Macao,10,,,,5.0,,Asia,https://web.archive.org/web/20200225/https://www.worldometers.info/coronavirus/,2020-02-25
22,Spain,7,4.0,,,2.0,,Europe,https://web.archive.org/web/20200225/https://www.worldometers.info/coronavirus/,2020-02-25
23,Iraq,5,4.0,,,,,Asia,https://web.archive.org/web/20200225/https://www.worldometers.info/coronavirus/,2020-02-25
24,Oman,4,2.0,,,,,Asia,https://web.archive.org/web/20200225/https://www.worldometers.info/coronavirus/,2020-02-25
25,Philippines,3,,1.0,,2.0,,Asia,https://web.archive.org/web/20200225/https://www.worldometers.info/coronavirus/,2020-02-25
26,India,3,,,,3.0,,Asia,https://web.archive.org/web/20200225/https://www.worldometers.info/coronavirus/,2020-02-25
27,Austria,2,2.0,,,,,Europe,https://web.archive.org/web/20200225/https://www.worldometers.info/coronavirus/,2020-02-25
28,Israel,2,,,,,,Asia,https://web.archive.org/web/20200225/https://www.worldometers.info/coronavirus/,2020-02-25
29,Russia,2,,,,2.0,,Europe,https://web.archive.org/web/20200225/https://www.worldometers.info/coronavirus/,2020-02-25
30,Afghanistan,1,,,,,,Asia,https://web.archive.org/web/20200225/https://www.worldometers.info/coronavirus/,2020-02-25
31,Algeria,1,1.0,,,,,Africa,https://web.archive.org/web/20200225/https://www.worldometers.info/coronavirus/,2020-02-25
32,Belgium,1,,,,1.0,,Europe,https://web.archive.org/web/20200225/https://www.worldometers.info/coronavirus/,2020-02-25
33,Cambodia,1,,,,1.0,,Asia,https://web.archive.org/web/20200225/https://www.worldometers.info/coronavirus/,2020-02-25
34,Croatia,1,1.0,,,,,Europe,https://web.archive.org/web/20200225/https://www.worldometers.info/coronavirus/,2020-02-25
35,Egypt,1,,,,1.0,,Africa,https://web.archive.org/web/20200225/https://www.worldometers.info/coronavirus/,2020-02-25
36,Finland,1,,,,1.0,,Europe,https://web.archive.org/web/20200225/https://www.worldometers.info/coronavirus/,2020-02-25
37,Lebanon,1,,,,,,Asia,https://web.archive.org/web/20200225/https://www.worldometers.info/coronavirus/,2020-02-25
38,Nepal,1,,,,1.0,,Asia,https://web.archive.org/web/20200225/https://www.worldometers.info/coronavirus/,2020-02-25
39,Sri Lanka,1,,,,1.0,,Asia,https://web.archive.org/web/20200225/https://www.worldometers.info/coronavirus/,2020-02-25
40,Sweden,1,,,,,,Europe,https://web.archive.org/web/20200225/https://www.worldometers.info/coronavirus/,2020-02-25
41,Switzerland,1,1.0,,,,,Europe,https://web.archive.org/web/20200225/https://www.worldometers.info/coronavirus/,2020-02-25
