,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,ref,date
0,China,80851,+7,3199.0,,66934.0,10718,3226.0,56.2,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
1,Italy,24747,"+3,590",1809.0,368.0,2335.0,20603,1672.0,409.3,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
2,Iran,13938,"+1,209",724.0,113.0,4590.0,8624,,165.9,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
3,S. Korea,8162,+76,75.0,3.0,834.0,7253,59.0,159.2,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
4,Spain,7845,"+1,454",292.0,96.0,517.0,7036,272.0,167.8,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
5,Germany,5813,"+1,214",11.0,2.0,46.0,5756,2.0,69.4,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
6,France,5423,+924,127.0,36.0,12.0,5284,400.0,83.1,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
7,USA,3680,+737,68.0,11.0,59.0,3553,10.0,11.1,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
8,Switzerland,2217,+842,14.0,1.0,4.0,2199,,256.2,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
9,UK,1391,+251,35.0,14.0,20.0,1336,20.0,20.5,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
10,Norway,1254,+145,3.0,,1.0,1250,27.0,231.3,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
11,Netherlands,1135,+176,20.0,8.0,2.0,1113,45.0,66.2,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
12,Sweden,1040,+79,3.0,1.0,1.0,1036,2.0,103.0,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
13,Belgium,886,+197,4.0,,1.0,881,33.0,76.4,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
14,Denmark,864,+28,2.0,1.0,1.0,861,2.0,149.2,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
15,Austria,860,+205,1.0,,6.0,853,1.0,95.5,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
16,Japan,839,+35,24.0,2.0,144.0,671,36.0,6.6,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
17,Diamond Princess,696,,7.0,,456.0,233,15.0,,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
18,Malaysia,428,+190,,,42.0,386,9.0,13.2,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
19,Qatar,401,+64,,,4.0,397,,139.2,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
20,Canada,341,+89,1.0,,11.0,329,1.0,9.0,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
21,Greece,331,+103,4.0,1.0,8.0,319,5.0,31.8,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
22,Australia,300,+52,5.0,2.0,27.0,268,1.0,11.8,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
23,Czechia,293,+104,,,,293,2.0,27.4,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
24,Portugal,245,+76,,,2.0,243,9.0,24.0,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
25,Finland,244,+19,,,10.0,234,,44.0,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
26,Singapore,226,+14,,,105.0,121,11.0,38.6,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
27,Slovenia,219,+38,1.0,,,218,3.0,105.3,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
28,Bahrain,214,+2,,,77.0,137,2.0,125.8,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
29,Israel,213,+20,,,4.0,209,2.0,24.6,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
30,Brazil,200,+49,,,1.0,199,2.0,0.9,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
31,Iceland,180,+19,,,,180,1.0,,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
32,Estonia,171,+56,,,1.0,170,,128.9,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
33,Ireland,170,+41,2.0,,1.0,167,6.0,34.4,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
34,Hong Kong,149,+7,4.0,,81.0,64,4.0,19.9,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
35,Philippines,140,+29,12.0,4.0,2.0,126,1.0,1.3,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
36,Romania,139,+16,,,9.0,130,1.0,7.2,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
37,Egypt,126,+16,2.0,,27.0,97,,1.2,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
38,Poland,125,+21,3.0,,13.0,109,3.0,3.3,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
39,Iraq,124,+14,10.0,,26.0,88,,3.1,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
40,Saudi Arabia,118,+15,,,2.0,116,,3.4,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
41,Indonesia,117,+21,5.0,,8.0,104,,0.4,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
42,Thailand,114,+32,1.0,,35.0,78,1.0,1.6,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
43,India,112,+12,2.0,,13.0,97,,0.1,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
44,Kuwait,112,+8,,,9.0,103,4.0,26.2,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
45,San Marino,109,+8,7.0,2.0,4.0,98,11.0,,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
46,Lebanon,99,+6,3.0,,1.0,95,3.0,14.5,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
47,UAE,98,+13,,,20.0,78,2.0,9.9,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
48,Luxembourg,77,+26,1.0,,,76,,,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
49,Chile,75,+14,,,,75,,3.9,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
50,Peru,71,+28,,,,71,,2.2,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
51,Russia,63,+4,,,8.0,55,,0.4,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
52,Slovakia,61,+17,,,,61,,11.2,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
53,South Africa,61,+23,,,,61,,1.0,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
54,Taiwan,59,+6,1.0,,20.0,38,,2.5,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
55,Vietnam,56,+3,,,16.0,40,,0.6,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
56,Pakistan,53,+20,,,2.0,51,,0.2,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
57,Bulgaria,51,+10,2.0,,,49,,7.3,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
58,Brunei,50,+10,,,,50,,,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
59,Croatia,49,+10,,,2.0,47,,11.9,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
60,Algeria,48,+9,4.0,1.0,10.0,34,,1.1,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
61,Serbia,48,+2,,,1.0,47,1.0,5.5,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
62,Argentina,46,+1,2.0,,,44,1.0,1.0,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
63,Panama,43,,1.0,,,42,,10.0,https://web.archive.org/web/20200315/https://www.worldometers.info/coronavirus/,2020-03-15
