,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,ref,date
0,World,1272901,"+71,418",69427.0,"+4,737",264604.0,938870,45589.0,163.0,8.9,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
1,China,81708,+39,3331.0,+2,77078.0,1299,265.0,57.0,2.0,,,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
2,USA,336673,"+25,316",9616.0,"+1,165",17977.0,309080,8702.0,1017.0,29.0,1772369.0,5355.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
3,Spain,131646,"+5,478",12641.0,+694,38080.0,80925,6861.0,2816.0,270.0,355000.0,7593.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
4,Italy,128948,"+4,316",15887.0,+525,21815.0,91246,3977.0,2133.0,263.0,691461.0,11436.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
5,Germany,100123,"+4,031",1584.0,+140,28700.0,69839,3936.0,1195.0,19.0,918460.0,10962.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
6,France,92839,"+2,886",8078.0,+518,16183.0,68578,6838.0,1422.0,124.0,224254.0,3436.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
7,Iran,58226,"+2,483",3603.0,+151,22011.0,32612,4103.0,693.0,43.0,186000.0,2214.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
8,UK,47806,"+5,903",4934.0,+621,135.0,42737,1559.0,704.0,73.0,195524.0,2880.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
9,Turkey,27069,"+3,135",574.0,+73,1042.0,25453,1381.0,321.0,7.0,181445.0,2151.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
10,Switzerland,21100,+595,715.0,+49,6415.0,13970,391.0,2438.0,83.0,158000.0,18256.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
11,Belgium,19691,"+1,260",1447.0,+164,3751.0,14493,1261.0,1699.0,125.0,70000.0,6040.0,https://web.archive.org/web/20200406/https://www.worldometers.info/coronavirus/,2020-04-06
