,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,ref,date
44,Indonesia,96,+27,5.0,1.0,8.0,83,,0.4,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
45,Lebanon,93,+16,3.0,,1.0,89,3.0,13.6,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
46,UAE,85,,,,20.0,65,2.0,8.6,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
47,Thailand,82,+7,1.0,,35.0,46,1.0,1.2,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
48,Chile,61,+18,,,,61,,3.2,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
49,Russia,59,+14,,,8.0,51,,0.4,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
50,Taiwan,53,+3,1.0,,20.0,32,,2.2,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
51,Vietnam,53,+9,,,16.0,37,,0.5,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
52,Luxembourg,51,+13,1.0,,,50,,,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
53,Serbia,46,+11,,,,46,1.0,5.3,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
54,Argentina,45,+11,2.0,,,43,1.0,1.0,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
55,Slovakia,44,+12,,,,44,,8.1,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
56,Bulgaria,41,+10,2.0,1.0,,39,,5.9,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
57,Brunei,40,+3,,,,40,,,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
58,Croatia,39,+7,,,2.0,37,,9.5,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
59,Albania,38,+5,1.0,,,37,2.0,13.2,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
60,Peru,38,,,,,38,,1.2,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
61,South Africa,38,+14,,,,38,,0.6,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
62,Palestine,38,+3,,,,38,,7.4,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
63,Algeria,37,+11,3.0,1.0,10.0,24,,0.8,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
64,Panama,36,+9,1.0,,,35,,8.3,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
65,Pakistan,31,+3,,,2.0,29,,0.1,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
66,Georgia,30,+5,,,,30,1.0,7.5,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
67,Hungary,30,+11,,,1.0,29,,3.1,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
68,Ecuador,28,+5,1.0,,,27,1.0,1.6,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
69,Belarus,27,,,,3.0,24,,2.9,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
70,Costa Rica,27,+4,,,,27,1.0,5.3,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
71,Latvia,26,+9,,,1.0,25,,13.8,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
72,Mexico,26,+11,,,4.0,22,1.0,0.2,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
73,Cyprus,26,+12,,,,26,,21.5,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
74,Colombia,22,+6,,,,22,,0.4,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
75,Senegal,21,,,,2.0,19,,1.3,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
76,Bosnia and Herzegovina,21,+3,,,,21,,6.4,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
77,Oman,19,,,,9.0,10,,3.7,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
78,Morocco,18,+11,1.0,,1.0,16,1.0,0.5,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
79,Armenia,18,+10,,,,18,,6.1,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
80,Tunisia,18,+2,,,,18,2.0,1.5,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
81,Malta,18,+6,,,1.0,17,,,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
82,Azerbaijan,15,,1.0,,3.0,11,,1.5,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
83,North Macedonia,13,,,,1.0,12,,6.2,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
84,Moldova,12,+6,,,,12,,3.0,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
85,Afghanistan,11,+4,,,,11,,0.3,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
86,Dominican Republic,11,+6,,,,11,,1.0,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
87,Macao,10,,,,10.0,0,,,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
88,Sri Lanka,10,+4,,,1.0,9,,0.5,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
89,Bolivia,10,,,,,10,,0.9,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
90,Maldives,10,+1,,,,10,,,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
91,Martinique,10,+7,,,,10,,,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
92,Lithuania,9,+3,,,1.0,8,,3.3,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
93,Faeroe Islands,9,+6,,,,9,,,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
94,Jamaica,8,,,,,8,,2.7,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
95,Cambodia,7,,,,1.0,6,,0.4,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
96,New Zealand,7,+1,,,,7,,1.5,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
97,French Guiana,7,+1,,,,7,,,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
98,Paraguay,7,+1,,,,7,1.0,1.0,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
99,Kazakhstan,6,+2,,,,6,,0.3,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
100,Réunion,6,+1,,,,6,,,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
101,Turkey,6,+1,,,,6,,0.1,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
102,Bangladesh,5,+2,,,2.0,3,,,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
103,Cuba,4,,,,,4,,0.4,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
104,Liechtenstein,4,,,,,4,,,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
105,Uruguay,4,,,,,4,,1.2,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
106,Ukraine,3,,1.0,,,2,,0.1,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
107,Channel Islands,3,,,,,3,,,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
108,French Polynesia,3,,,,,3,,,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
109,Guadeloupe,3,+2,,,,3,,,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
110,Honduras,3,+1,,,,3,,0.3,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
111,Puerto Rico,3,,,,,3,,1.0,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
112,Monaco,2,,,,,2,,,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
113,Nigeria,2,,,,,2,,,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
114,Aruba,2,,,,,2,,,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
115,Burkina Faso,2,,,,,2,,0.1,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
116,Cameroon,2,,,,,2,,0.1,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
117,DRC,2,,,,,2,,,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
118,Ghana,2,,,,,2,,0.1,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
119,Namibia,2,+2,,,,2,,0.8,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
120,Saint Martin,2,,,,,2,,,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
121,Seychelles,2,+2,,,,2,,,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
122,Trinidad and Tobago,2,+1,,,,2,,1.4,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
123,Venezuela,2,,,,,2,,0.1,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
124,Guyana,1,,1.0,,,0,,,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
125,Sudan,1,,1.0,,,0,,,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
126,Andorra,1,,,,,1,,,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
127,Jordan,1,,,,1.0,0,,0.1,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
128,Nepal,1,,,,1.0,0,,,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
129,Antigua and Barbuda,1,,,,,1,,,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
130,Bhutan,1,,,,,1,,,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
131,Cayman Islands,1,,,,,1,,,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
132,Ivory Coast,1,,,,,1,,,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
133,Curaçao,1,,,,,1,,,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
134,Ethiopia,1,,,,,1,,,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
135,Gabon,1,,,,,1,,0.4,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
136,Gibraltar,1,,,,1.0,0,,,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
137,Guatemala,1,,,,,1,,0.1,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
138,Guinea,1,,,,,1,,0.1,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
139,Vatican City,1,,,,,1,,,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
140,Kenya,1,,,,,1,,,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
141,Mauritania,1,,,,,1,,0.2,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
142,Mayotte,1,+1,,,,1,,,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
143,Mongolia,1,,,,,1,,0.3,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
144,Rwanda,1,+1,,,,1,,0.1,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
145,St. Barth,1,,,,,1,,,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
146,Saint Lucia,1,,,,,1,,,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
147,St. Vincent Grenadines,1,,,,,1,,,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
148,Suriname,1,,,,,1,,,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
149,Eswatini,1,+1,,,,1,,0.9,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
150,Togo,1,,,,,1,,0.1,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
151,U.S. Virgin Islands,1,+1,,,,1,,,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
152,Total:,156433,10951,5821.0,392.0,74466.0,76146,5909.0,20.1,https://web.archive.org/web/20200314/https://www.worldometers.info/coronavirus/,2020-03-14
