,"Country, Territory",Total Cases,New Cases,Total Deaths,NewDeaths,Total Recovered,"Serious, Critical",Region,ref,date
0,China,68501,"+2,009",1665.0,142.0,9452.0,11272.0,Asia,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,2020-02-15
1,Japan,408,+70,1.0,,12.0,9.0,Asia,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,2020-02-15
2,Singapore,72,,,,18.0,6.0,Asia,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,2020-02-15
3,Hong Kong,56,,1.0,,1.0,7.0,Asia,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,2020-02-15
4,Thailand,34,,,,14.0,2.0,Asia,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,2020-02-15
5,S. Korea,29,+1,,,9.0,,Asia,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,2020-02-15
6,Malaysia,22,,,,7.0,,Asia,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,2020-02-15
7,Taiwan,18,,,,2.0,,Asia,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,2020-02-15
8,Vietnam,16,,,,7.0,,Asia,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,2020-02-15
9,Germany,16,,,,3.0,,Europe,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,2020-02-15
10,USA,15,,,,3.0,,N.America,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,2020-02-15
11,Australia,15,,,,10.0,,Oceania,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,2020-02-15
12,France,12,,1.0,,4.0,,Europe,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,2020-02-15
13,Macao,10,,,,3.0,,Asia,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,2020-02-15
14,U.K.,9,,,,8.0,,Europe,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,2020-02-15
15,Canada,8,,,,1.0,,N.America,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,2020-02-15
16,U.A.E.,8,,,,3.0,1.0,Asia,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,2020-02-15
17,Philippines,3,,1.0,,2.0,,Asia,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,2020-02-15
18,Italy,3,,,,,2.0,Europe,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,2020-02-15
19,India,3,,,,3.0,,Asia,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,2020-02-15
20,Russia,2,,,,2.0,,Europe,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,2020-02-15
21,Spain,2,,,,2.0,,Europe,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,2020-02-15
22,Cambodia,1,,,,1.0,,Asia,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,2020-02-15
23,Sweden,1,,,,,,Europe,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,2020-02-15
24,Nepal,1,,,,1.0,,Asia,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,2020-02-15
25,Belgium,1,,,,1.0,,Europe,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,2020-02-15
26,Sri Lanka,1,,,,1.0,,Asia,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,2020-02-15
27,Finland,1,,,,1.0,,Europe,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,2020-02-15
28,Egypt,1,,,,,,Africa,https://web.archive.org/web/20200215/https://www.worldometers.info/coronavirus/,2020-02-15
