,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop,ref,date
47,Slovenia,562,+34,6.0,1.0,10.0,546,14.0,270.0,3.0,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
48,Qatar,549,+12,,,43.0,506,6.0,191.0,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
49,Estonia,538,+134,1.0,,8.0,529,6.0,406.0,0.8,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
50,Egypt,495,+39,24.0,3.0,102.0,369,,5.0,0.2,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
51,Croatia,495,+53,3.0,2.0,22.0,470,14.0,121.0,0.7,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
52,Colombia,491,+21,6.0,2.0,8.0,477,,10.0,0.1,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
53,Dominican Republic,488,+96,10.0,,3.0,475,,45.0,0.9,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
54,Mexico,475,+70,6.0,1.0,4.0,465,1.0,4.0,0.05,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
55,Bahrain,458,+39,4.0,,204.0,250,1.0,269.0,2.0,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
56,Serbia,457,+73,7.0,3.0,15.0,435,21.0,52.0,0.8,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
57,Hong Kong,454,+43,4.0,,110.0,340,5.0,61.0,0.5,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
58,Iraq,382,+36,36.0,7.0,105.0,241,,9.0,0.9,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
59,Lebanon,368,+35,6.0,,23.0,339,3.0,54.0,0.9,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
60,New Zealand,368,+85,,,37.0,331,1.0,76.0,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
