,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop,ref,date
103,Martinique,81,+15,1.0,,,80,12.0,216.0,3.0,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
104,Georgia,79,+4,,,11.0,68,1.0,20.0,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
105,Cameroon,75,,1.0,,2.0,72,,3.0,0.04,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
106,Uzbekistan,75,+15,,,,75,4.0,2.0,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
107,Guadeloupe,73,,1.0,,,72,4.0,182.0,2.0,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
108,Montenegro,69,+16,1.0,,,68,1.0,110.0,2.0,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
109,Cuba,67,+10,2.0,1.0,1.0,64,2.0,6.0,0.2,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
110,Honduras,67,+15,1.0,1.0,,66,,7.0,0.1,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
111,Channel Islands,66,+20,1.0,1.0,,65,,380.0,6.0,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
112,Nigeria,65,+14,1.0,,3.0,61,,0.3,0.0,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
113,Trinidad and Tobago,65,+5,1.0,,,64,,46.0,0.7,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
114,Bolivia,61,+29,,,,61,,5.0,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
115,Liechtenstein,56,+5,,,,56,,1469.0,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
116,DRC,51,+3,3.0,1.0,,48,,0.6,0.03,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
117,Rwanda,50,+9,,,,50,,4.0,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
118,Bangladesh,44,+5,5.0,,11.0,28,1.0,0.3,0.03,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
119,Kyrgyzstan,44,,,,,44,,7.0,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
120,Paraguay,41,+4,3.0,,,38,1.0,6.0,0.4,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
121,Mayotte,36,,,,,36,,132.0,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
122,Gibraltar,35,+9,,,13.0,22,,1039.0,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
123,Macao,33,+2,,,10.0,23,,51.0,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
124,Monaco,33,+2,,,1.0,32,,841.0,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
125,Kenya,31,+3,1.0,1.0,1.0,29,,0.6,0.02,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
126,French Polynesia,30,+5,,,,30,,107.0,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
127,Aruba,28,+9,,,1.0,27,,262.0,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
128,French Guiana,28,,,,6.0,22,,94.0,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
129,Jamaica,26,,1.0,,2.0,23,,9.0,0.3,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
130,Isle of Man,26,+3,,,,26,,306.0,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
131,Guatemala,25,+1,1.0,,4.0,20,,1.0,0.06,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
132,Barbados,24,+6,,,,24,,84.0,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
133,Togo,24,+1,,,1.0,23,,3.0,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
134,Madagascar,23,+4,,,,23,,0.8,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
135,Zambia,16,+4,,,,16,,0.9,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
136,Bermuda,15,+8,,,2.0,13,,241.0,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
137,New Caledonia,14,,,,,14,,49.0,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
138,Uganda,14,,,,,14,,0.3,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
139,El Salvador,13,+4,,,,13,,2.0,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
140,Maldives,13,,,,8.0,5,,24.0,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
141,Tanzania,13,,,,,13,,0.2,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
142,Equatorial Guinea,12,+3,,,,12,,9.0,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
143,Ethiopia,12,,,,,12,,0.1,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
144,Djibouti,11,,,,,11,,11.0,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
145,Dominica,11,,,,,11,,153.0,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
146,Mongolia,11,+1,,,,11,,3.0,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
147,Saint Martin,11,,,,,11,,284.0,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
148,Niger,10,+3,1.0,,,9,,0.4,0.04,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
149,Bahamas,9,+4,,,1.0,8,,23.0,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
150,Cayman Islands,8,,1.0,,,7,,122.0,15.0,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
151,Haiti,8,,,,,8,,0.7,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
152,Namibia,8,+1,,,2.0,6,,3.0,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
153,Suriname,8,,,,,8,,14.0,,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
154,Curaçao,7,+1,1.0,,2.0,4,,43.0,6.0,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
155,Gabon,7,+1,1.0,,,6,,3.0,0.4,https://web.archive.org/web/20200327/https://www.worldometers.info/coronavirus/,2020-03-27
