,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,"Serious,Critical",ref,date
0,China,79828,4.0,2870.0,,34832,42126.0,7365.0,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
1,S. Korea,3736,586.0,21.0,4.0,3685,30.0,10.0,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
2,Italy,1694,566.0,41.0,12.0,1570,83.0,140.0,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
3,Iran,978,385.0,54.0,11.0,749,175.0,,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
4,Diamond Princess,705,,7.0,1.0,688,10.0,36.0,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
5,Japan,256,15.0,6.0,1.0,208,42.0,19.0,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
6,France,130,30.0,2.0,,116,12.0,9.0,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
7,Germany,130,51.0,,,114,16.0,2.0,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
8,Singapore,106,4.0,,,32,74.0,7.0,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
9,Hong Kong,100,5.0,2.0,,62,36.0,6.0,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
10,Spain,84,26.0,,,82,2.0,3.0,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
11,USA,75,7.0,1.0,,65,9.0,4.0,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
12,Bahrain,47,6.0,,,47,,,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
13,Kuwait,46,1.0,,,46,,,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
14,Thailand,42,,1.0,1.0,11,30.0,1.0,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
15,Taiwan,40,1.0,1.0,,27,12.0,1.0,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
16,U.K.,36,13.0,,,28,8.0,,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
17,Australia,29,4.0,1.0,1.0,13,15.0,,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
18,Malaysia,29,4.0,,,7,22.0,,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
19,Canada,24,4.0,,,20,4.0,,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
20,Switzerland,24,5.0,,,23,1.0,,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
21,U.A.E.,21,,,,16,5.0,2.0,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
22,Iraq,19,6.0,,,19,,,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
23,Norway,19,4.0,,,19,,,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
24,Vietnam,16,,,,0,16.0,,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
25,Austria,14,4.0,,,14,,,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
26,Sweden,14,1.0,,,14,,,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
27,Macao,10,,,,4,6.0,,https://web.archive.org/web/20200301/https://www.worldometers.info/coronavirus/,2020-03-01
