,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,"Serious,Critical",ref,date
0,China,80576,+24,3042.0,,23605,53929.0,5737.0,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
1,S. Korea,6593,+309,43.0,1.0,6415,135.0,52.0,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
2,Iran,4747,"+1,234",124.0,16.0,3710,913.0,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
3,Italy,4636,+778,197.0,49.0,3916,523.0,462.0,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
4,Diamond Princess,696,,6.0,,478,212.0,34.0,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
5,Germany,670,+125,,,653,17.0,8.0,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
6,France,653,+230,9.0,2.0,632,12.0,23.0,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
7,Japan,420,+56,6.0,,368,46.0,34.0,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
8,Spain,401,+119,8.0,5.0,387,6.0,9.0,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
9,USA,316,+95,15.0,3.0,286,15.0,8.0,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
10,Switzerland,214,+94,1.0,,210,3.0,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
11,UK,164,+48,2.0,1.0,144,18.0,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
12,Sweden,137,+43,,,136,1.0,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
13,Singapore,130,+13,,,48,82.0,9.0,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
14,Netherlands,128,+46,1.0,1.0,127,,1.0,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
15,Norway,127,+33,,,126,1.0,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
16,Belgium,109,+59,,,108,1.0,1.0,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
17,Hong Kong,108,+3,2.0,,55,51.0,6.0,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
18,Malaysia,83,+28,,,60,23.0,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
19,Austria,66,+23,,,64,2.0,1.0,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
20,Australia,63,+3,2.0,,39,22.0,1.0,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
21,Bahrain,60,+5,,,56,4.0,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
22,Kuwait,58,,,,57,1.0,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
23,Canada,52,+15,,,44,8.0,1.0,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
24,Iraq,48,+8,4.0,1.0,43,1.0,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
25,Thailand,48,+1,1.0,,16,31.0,1.0,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
26,Taiwan,45,+1,1.0,,29,15.0,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
27,Greece,45,+14,,,45,,1.0,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
28,UAE,45,+17,,,40,5.0,2.0,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
29,Iceland,43,+8,,,43,,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
30,India,31,+1,,,28,3.0,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
31,San Marino,23,+2,1.0,,22,,4.0,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
32,Denmark,23,+3,,,22,1.0,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
33,Lebanon,22,+6,,,22,,1.0,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
34,Israel,21,+4,,,19,2.0,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
35,Czechia,19,+7,,,19,,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
36,Ireland,18,+5,,,18,,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
37,Algeria,17,,,,17,,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
38,Vietnam,17,+1,,,1,16.0,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
39,Oman,16,,,,14,2.0,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
40,Palestine,16,+9,,,16,,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
41,Egypt,15,+12,,,14,1.0,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
42,Finland,15,+3,,,14,1.0,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
43,Brazil,13,+5,,,13,,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
44,Ecuador,13,,,,13,,1.0,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
45,Portugal,13,+4,,,13,,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
46,Russia,13,+6,,,11,2.0,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
47,Croatia,11,+1,,,11,,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
48,Qatar,11,+3,,,11,,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
49,Macao,10,,,,1,9.0,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
50,Estonia,10,+5,,,10,,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
51,Georgia,9,,,,9,,1.0,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
52,Romania,9,+3,,,6,3.0,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
53,Argentina,8,+6,,,8,,,https://web.archive.org/web/20200306/https://www.worldometers.info/coronavirus/,2020-03-06
