,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,"Serious,Critical",ref,date
58,Belarus,1,,,,1,,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
59,Cambodia,1,,,,0,1.0,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
60,Dominican Republic,1,,,,1,,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
61,Estonia,1,,,,1,,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
62,Ireland,1,,,,1,,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
63,Jordan,1,1.0,,,1,,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
64,Latvia,1,1.0,,,1,,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
65,Lithuania,1,,,,1,,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
66,Luxembourg,1,,,,1,,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
67,North Macedonia,1,,,,1,,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
68,Monaco,1,,,,1,,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
69,Morocco,1,1.0,,,1,,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
70,Nepal,1,,,,0,1.0,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
71,New Zealand,1,,,,1,,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
72,Nigeria,1,,,,1,,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
73,Saudi Arabia,1,1.0,,,1,,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
74,Senegal,1,1.0,,,1,,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
75,Sri Lanka,1,,,,0,1.0,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
76,Tunisia,1,1.0,,,1,,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
77,Total:,90308,1718.0,3087.0,36.0,41482,45739.0,7398.0,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
