,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,"Serious,Critical",ref,date
0,China,80026,,2912.0,,32279,44835.0,7110.0,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
1,S. Korea,4335,599.0,28.0,7.0,4277,30.0,27.0,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
2,Italy,2036,335.0,52.0,11.0,1835,149.0,166.0,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
3,Iran,1501,523.0,66.0,12.0,1144,291.0,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
4,Diamond Princess,705,,7.0,,598,100.0,36.0,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
5,Japan,274,18.0,6.0,,226,42.0,19.0,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
6,France,191,61.0,3.0,1.0,176,12.0,8.0,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
7,Germany,165,35.0,,,149,16.0,2.0,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
8,Spain,120,36.0,,,118,2.0,3.0,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
9,Singapore,108,2.0,,,30,78.0,6.0,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
10,Hong Kong,100,,2.0,,62,36.0,6.0,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
11,USA,99,24.0,6.0,5.0,84,9.0,7.0,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
12,Kuwait,56,10.0,,,56,,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
13,Bahrain,49,2.0,,,49,,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
14,Thailand,43,1.0,1.0,,12,30.0,1.0,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
15,Taiwan,41,1.0,1.0,,28,12.0,1.0,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
16,U.K.,40,4.0,,,32,8.0,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
17,Australia,33,4.0,1.0,,17,15.0,1.0,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
18,Malaysia,29,,,,7,22.0,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
19,Canada,27,3.0,,,20,7.0,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
20,Iraq,26,7.0,,,26,,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
21,Norway,25,6.0,,,25,,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
22,Switzerland,24,,,,23,1.0,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
23,U.A.E.,21,,,,16,5.0,2.0,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
24,Austria,18,4.0,,,18,,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
25,Netherlands,18,8.0,,,18,,1.0,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
26,Vietnam,16,,,,0,16.0,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
27,Sweden,15,1.0,,,15,,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
28,Lebanon,13,3.0,,,13,,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
29,Israel,12,2.0,,,11,1.0,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
30,Macao,10,,,,4,6.0,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
31,San Marino,8,,1.0,,7,,1.0,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
32,Belgium,8,6.0,,,7,1.0,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
33,Croatia,8,1.0,,,8,,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
34,Greece,7,,,,7,,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
35,Qatar,7,4.0,,,7,,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
36,Ecuador,6,,,,6,,1.0,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
37,Finland,6,,,,5,1.0,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
38,Iceland,6,3.0,,,6,,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
39,India,6,3.0,,,3,3.0,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
40,Oman,6,,,,4,2.0,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
41,Mexico,5,,,,5,,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
42,Denmark,4,,,,4,,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
43,Pakistan,4,,,,4,,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
44,Philippines,3,,1.0,,0,2.0,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
45,Algeria,3,,,,3,,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
46,Azerbaijan,3,,,,3,,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
47,Czechia,3,,,,3,,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
48,Georgia,3,,,,3,,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
49,Romania,3,,,,2,1.0,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
50,Russia,3,1.0,,,1,2.0,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
51,Brazil,2,,,,2,,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
52,Egypt,2,,,,1,1.0,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
53,Indonesia,2,2.0,,,2,,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
54,Portugal,2,2.0,,,2,,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
55,Afghanistan,1,,,,1,,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
56,Andorra,1,1.0,,,1,,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
57,Armenia,1,,,,1,,,https://web.archive.org/web/20200302/https://www.worldometers.info/coronavirus/,2020-03-02
