,"Country, Other",Total Cases,New Cases,Total Deaths,NewDeaths,Total Recovered,"Serious, Critical",Region,ref,date
0,China,75000,424.0,2236.0,118.0,18007.0,12017.0,Asia,https://web.archive.org/web/20200220/https://www.worldometers.info/coronavirus/,2020-02-20
1,Diamond Princess,634,13.0,2.0,2.0,17.0,27.0,,https://web.archive.org/web/20200220/https://www.worldometers.info/coronavirus/,2020-02-20
2,S. Korea,106,48.0,1.0,1.0,16.0,,Asia,https://web.archive.org/web/20200220/https://www.worldometers.info/coronavirus/,2020-02-20
3,Japan,94,10.0,1.0,,20.0,4.0,Asia,https://web.archive.org/web/20200220/https://www.worldometers.info/coronavirus/,2020-02-20
4,Singapore,85,1.0,,,37.0,4.0,Asia,https://web.archive.org/web/20200220/https://www.worldometers.info/coronavirus/,2020-02-20
5,Hong Kong,67,2.0,2.0,,6.0,6.0,Asia,https://web.archive.org/web/20200220/https://www.worldometers.info/coronavirus/,2020-02-20
6,Thailand,35,,,,17.0,2.0,Asia,https://web.archive.org/web/20200220/https://www.worldometers.info/coronavirus/,2020-02-20
7,Taiwan,24,1.0,1.0,,2.0,1.0,Asia,https://web.archive.org/web/20200220/https://www.worldometers.info/coronavirus/,2020-02-20
8,Malaysia,22,,,,17.0,,Asia,https://web.archive.org/web/20200220/https://www.worldometers.info/coronavirus/,2020-02-20
9,Germany,16,,,,13.0,,Europe,https://web.archive.org/web/20200220/https://www.worldometers.info/coronavirus/,2020-02-20
10,Vietnam,16,,,,14.0,,Asia,https://web.archive.org/web/20200220/https://www.worldometers.info/coronavirus/,2020-02-20
11,Australia,15,,,,11.0,,Oceania,https://web.archive.org/web/20200220/https://www.worldometers.info/coronavirus/,2020-02-20
12,USA,15,,,,3.0,,N.America,https://web.archive.org/web/20200220/https://www.worldometers.info/coronavirus/,2020-02-20
13,France,12,,1.0,,7.0,,Europe,https://web.archive.org/web/20200220/https://www.worldometers.info/coronavirus/,2020-02-20
14,Macao,10,,,,6.0,,Asia,https://web.archive.org/web/20200220/https://www.worldometers.info/coronavirus/,2020-02-20
15,U.K.,9,,,,8.0,,Europe,https://web.archive.org/web/20200220/https://www.worldometers.info/coronavirus/,2020-02-20
16,U.A.E.,9,,,,3.0,1.0,Asia,https://web.archive.org/web/20200220/https://www.worldometers.info/coronavirus/,2020-02-20
17,Canada,8,,,,2.0,,N.America,https://web.archive.org/web/20200220/https://www.worldometers.info/coronavirus/,2020-02-20
18,Iran,5,3.0,2.0,,,,Asia,https://web.archive.org/web/20200220/https://www.worldometers.info/coronavirus/,2020-02-20
19,Philippines,3,,1.0,,2.0,,Asia,https://web.archive.org/web/20200220/https://www.worldometers.info/coronavirus/,2020-02-20
20,India,3,,,,3.0,,Asia,https://web.archive.org/web/20200220/https://www.worldometers.info/coronavirus/,2020-02-20
21,Italy,3,,,,,2.0,Europe,https://web.archive.org/web/20200220/https://www.worldometers.info/coronavirus/,2020-02-20
22,Russia,2,,,,2.0,,Europe,https://web.archive.org/web/20200220/https://www.worldometers.info/coronavirus/,2020-02-20
23,Spain,2,,,,2.0,,Europe,https://web.archive.org/web/20200220/https://www.worldometers.info/coronavirus/,2020-02-20
24,Belgium,1,,,,1.0,,Europe,https://web.archive.org/web/20200220/https://www.worldometers.info/coronavirus/,2020-02-20
25,Cambodia,1,,,,1.0,,Asia,https://web.archive.org/web/20200220/https://www.worldometers.info/coronavirus/,2020-02-20
26,Egypt,1,,,,1.0,,Africa,https://web.archive.org/web/20200220/https://www.worldometers.info/coronavirus/,2020-02-20
27,Finland,1,,,,1.0,,Europe,https://web.archive.org/web/20200220/https://www.worldometers.info/coronavirus/,2020-02-20
28,Nepal,1,,,,1.0,,Asia,https://web.archive.org/web/20200220/https://www.worldometers.info/coronavirus/,2020-02-20
29,Sri Lanka,1,,,,1.0,,Asia,https://web.archive.org/web/20200220/https://www.worldometers.info/coronavirus/,2020-02-20
30,Sweden,1,,,,,,Europe,https://web.archive.org/web/20200220/https://www.worldometers.info/coronavirus/,2020-02-20
