,"Country, Territory",Total Cases,Feb 6 Cases,Total Deaths,Feb 6 Deaths,Total Recovered,Total Critical,Region,ref,date
0,China,30551,"+2,533",633.0,70.0,1593.0,3859.0,Asia,https://web.archive.org/web/20200206/https://www.worldometers.info/coronavirus/,2020-02-06
1,Japan,45,,,,,,Asia,https://web.archive.org/web/20200206/https://www.worldometers.info/coronavirus/,2020-02-06
2,Singapore,30,+2,,,1.0,,Asia,https://web.archive.org/web/20200206/https://www.worldometers.info/coronavirus/,2020-02-06
3,Thailand,25,,,,9.0,1.0,Asia,https://web.archive.org/web/20200206/https://www.worldometers.info/coronavirus/,2020-02-06
4,Hong Kong,24,+3,1.0,,,,Asia,https://web.archive.org/web/20200206/https://www.worldometers.info/coronavirus/,2020-02-06
5,S. Korea,23,,,,1.0,,Asia,https://web.archive.org/web/20200206/https://www.worldometers.info/coronavirus/,2020-02-06
6,Taiwan,16,+5,,,1.0,,Asia,https://web.archive.org/web/20200206/https://www.worldometers.info/coronavirus/,2020-02-06
7,Australia,15,+1,,,3.0,,Oceania,https://web.archive.org/web/20200206/https://www.worldometers.info/coronavirus/,2020-02-06
8,Malaysia,14,+2,,,1.0,,Asia,https://web.archive.org/web/20200206/https://www.worldometers.info/coronavirus/,2020-02-06
9,Germany,13,+1,,,,,Europe,https://web.archive.org/web/20200206/https://www.worldometers.info/coronavirus/,2020-02-06
10,USA,12,,,,1.0,,N.America,https://web.archive.org/web/20200206/https://www.worldometers.info/coronavirus/,2020-02-06
11,Vietnam,12,+2,,,3.0,,Asia,https://web.archive.org/web/20200206/https://www.worldometers.info/coronavirus/,2020-02-06
12,Macao,10,,,,,,Asia,https://web.archive.org/web/20200206/https://www.worldometers.info/coronavirus/,2020-02-06
13,Canada,7,+2,,,,,N.America,https://web.archive.org/web/20200206/https://www.worldometers.info/coronavirus/,2020-02-06
14,France,6,,,,,1.0,Europe,https://web.archive.org/web/20200206/https://www.worldometers.info/coronavirus/,2020-02-06
15,U.A.E.,5,,,,,,Asia,https://web.archive.org/web/20200206/https://www.worldometers.info/coronavirus/,2020-02-06
16,Philippines,3,,1.0,,,,Asia,https://web.archive.org/web/20200206/https://www.worldometers.info/coronavirus/,2020-02-06
17,India,3,,,,,,Asia,https://web.archive.org/web/20200206/https://www.worldometers.info/coronavirus/,2020-02-06
18,U.K.,3,+1,,,,,Europe,https://web.archive.org/web/20200206/https://www.worldometers.info/coronavirus/,2020-02-06
19,Italy,3,+1,,,,2.0,Europe,https://web.archive.org/web/20200206/https://www.worldometers.info/coronavirus/,2020-02-06
20,Russia,2,,,,,,Europe,https://web.archive.org/web/20200206/https://www.worldometers.info/coronavirus/,2020-02-06
21,Nepal,1,,,,,,Asia,https://web.archive.org/web/20200206/https://www.worldometers.info/coronavirus/,2020-02-06
22,Cambodia,1,,,,,,Asia,https://web.archive.org/web/20200206/https://www.worldometers.info/coronavirus/,2020-02-06
23,Sri Lanka,1,,,,1.0,,Asia,https://web.archive.org/web/20200206/https://www.worldometers.info/coronavirus/,2020-02-06
24,Finland,1,,,,1.0,,Europe,https://web.archive.org/web/20200206/https://www.worldometers.info/coronavirus/,2020-02-06
25,Sweden,1,,,,,,Europe,https://web.archive.org/web/20200206/https://www.worldometers.info/coronavirus/,2020-02-06
26,Belgium,1,,,,,,Europe,https://web.archive.org/web/20200206/https://www.worldometers.info/coronavirus/,2020-02-06
27,Spain,1,,,,,,Europe,https://web.archive.org/web/20200206/https://www.worldometers.info/coronavirus/,2020-02-06
