,Country,Total Cases,Feb 4 Cases,Total Deaths,Feb 4 Deaths,Total Recovered,Total Critical,Region,ref,date
0,China,20438,,425.0,,647.0,2788.0,Asia,https://web.archive.org/web/20200203/https://www.worldometers.info/coronavirus/,2020-02-03
1,Japan,20,,,,,,Asia,https://web.archive.org/web/20200203/https://www.worldometers.info/coronavirus/,2020-02-03
2,Thailand,19,,,,7.0,,Asia,https://web.archive.org/web/20200203/https://www.worldometers.info/coronavirus/,2020-02-03
3,Singapore,18,,,,,,Asia,https://web.archive.org/web/20200203/https://www.worldometers.info/coronavirus/,2020-02-03
4,S. Korea,16,1.0,,,,,Asia,https://web.archive.org/web/20200203/https://www.worldometers.info/coronavirus/,2020-02-03
5,Hong Kong,15,,1.0,1.0,,,Asia,https://web.archive.org/web/20200203/https://www.worldometers.info/coronavirus/,2020-02-03
6,Germany,12,,,,,,Europe,https://web.archive.org/web/20200203/https://www.worldometers.info/coronavirus/,2020-02-03
7,Australia,12,,,,2.0,,Oceania,https://web.archive.org/web/20200203/https://www.worldometers.info/coronavirus/,2020-02-03
8,USA,11,,,,,,N.America,https://web.archive.org/web/20200203/https://www.worldometers.info/coronavirus/,2020-02-03
9,Taiwan,10,,,,,,Asia,https://web.archive.org/web/20200203/https://www.worldometers.info/coronavirus/,2020-02-03
10,Macao,9,1.0,,,,,Asia,https://web.archive.org/web/20200203/https://www.worldometers.info/coronavirus/,2020-02-03
11,Vietnam,9,1.0,,,1.0,,Asia,https://web.archive.org/web/20200203/https://www.worldometers.info/coronavirus/,2020-02-03
12,Malaysia,8,,,,,,Asia,https://web.archive.org/web/20200203/https://www.worldometers.info/coronavirus/,2020-02-03
13,France,6,,,,,2.0,Europe,https://web.archive.org/web/20200203/https://www.worldometers.info/coronavirus/,2020-02-03
14,U.A.E.,5,,,,,,Asia,https://web.archive.org/web/20200203/https://www.worldometers.info/coronavirus/,2020-02-03
15,Canada,4,,,,,,N.America,https://web.archive.org/web/20200203/https://www.worldometers.info/coronavirus/,2020-02-03
16,India,3,,,,,,Asia,https://web.archive.org/web/20200203/https://www.worldometers.info/coronavirus/,2020-02-03
17,Philippines,2,,1.0,,,,Asia,https://web.archive.org/web/20200203/https://www.worldometers.info/coronavirus/,2020-02-03
18,U.K.,2,,,,,,Europe,https://web.archive.org/web/20200203/https://www.worldometers.info/coronavirus/,2020-02-03
19,Russia,2,,,,,,Europe,https://web.archive.org/web/20200203/https://www.worldometers.info/coronavirus/,2020-02-03
20,Italy,2,,,,,,Europe,https://web.archive.org/web/20200203/https://www.worldometers.info/coronavirus/,2020-02-03
21,Sweden,1,,,,,,Europe,https://web.archive.org/web/20200203/https://www.worldometers.info/coronavirus/,2020-02-03
22,Cambodia,1,,,,,,Asia,https://web.archive.org/web/20200203/https://www.worldometers.info/coronavirus/,2020-02-03
23,Finland,1,,,,,,Europe,https://web.archive.org/web/20200203/https://www.worldometers.info/coronavirus/,2020-02-03
24,Sri Lanka,1,,,,1.0,,Asia,https://web.archive.org/web/20200203/https://www.worldometers.info/coronavirus/,2020-02-03
25,Nepal,1,,,,,,Asia,https://web.archive.org/web/20200203/https://www.worldometers.info/coronavirus/,2020-02-03
26,Spain,1,,,,,,Europe,https://web.archive.org/web/20200203/https://www.worldometers.info/coronavirus/,2020-02-03
