,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,ref,date
0,China,80739,+4,3120.0,1.0,58753.0,18866,5111.0,56.1,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
1,Italy,9172,"+1,797",463.0,97.0,724.0,7985,733.0,151.7,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
2,S. Korea,7478,+165,53.0,3.0,166.0,7259,36.0,145.9,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
3,Iran,7161,+595,237.0,43.0,2394.0,4530,,85.3,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
4,France,1412,+203,30.0,11.0,12.0,1370,66.0,21.6,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
5,Spain,1231,+557,30.0,13.0,32.0,1169,11.0,26.3,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
6,Germany,1224,+184,2.0,2.0,18.0,1204,9.0,14.6,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
7,Diamond Princess,696,,7.0,,245.0,444,32.0,,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
8,USA,624,+83,26.0,4.0,15.0,583,8.0,1.9,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
9,Japan,530,+28,9.0,2.0,101.0,420,33.0,4.2,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
10,Switzerland,374,+42,2.0,,3.0,369,,43.2,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
11,UK,321,+43,5.0,2.0,18.0,298,,4.7,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
12,Netherlands,321,+56,4.0,1.0,,317,1.0,18.7,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
13,Sweden,261,+58,,,1.0,260,,25.8,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
14,Belgium,239,+39,,,1.0,238,2.0,20.6,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
15,Norway,227,+51,,,1.0,226,,41.9,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
16,Singapore,160,+10,,,93.0,67,10.0,27.3,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
17,Austria,131,+27,,,2.0,129,1.0,14.5,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
18,Malaysia,117,+18,,,24.0,93,2.0,3.6,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
19,Hong Kong,116,+1,3.0,,59.0,54,6.0,15.5,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
20,Bahrain,109,+24,,,22.0,87,,64.1,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
21,Australia,93,+10,3.0,,22.0,68,1.0,3.6,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
22,Denmark,90,+55,,,1.0,89,,15.5,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
23,Greece,84,+11,,,,84,1.0,8.1,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
24,Canada,77,+11,1.0,1.0,8.0,68,1.0,2.0,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
25,Iraq,71,+6,7.0,1.0,3.0,61,,1.8,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
26,Iceland,65,+7,,,1.0,64,,,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
27,Kuwait,65,+1,,,1.0,64,3.0,15.2,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
28,Egypt,59,+4,1.0,,1.0,57,,0.6,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
29,UAE,59,+14,,,12.0,47,2.0,6.0,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
30,San Marino,51,+14,2.0,1.0,,49,5.0,,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
31,Thailand,50,,1.0,,33.0,16,1.0,0.7,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
32,Israel,50,+11,,,4.0,46,1.0,5.8,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
33,India,47,+7,,,4.0,43,,,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
34,Taiwan,45,,1.0,,15.0,29,,1.9,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
35,Lebanon,41,+9,,,1.0,40,3.0,6.0,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
36,Portugal,39,+9,,,,39,,3.8,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
37,Czechia,38,+6,,,,38,,3.5,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
38,Finland,33,+8,,,1.0,32,,6.0,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
39,Vietnam,31,+1,,,16.0,15,,0.3,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
40,Brazil,25,,,,,25,1.0,0.1,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
41,Palestine,25,+6,,,,25,,4.9,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
42,Philippines,24,+14,1.0,,2.0,21,1.0,0.2,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
43,Ireland,24,+3,,,,24,,4.9,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
44,Slovenia,24,+8,,,,24,,11.5,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
45,Algeria,20,,,,,20,,0.5,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
46,Russia,20,+3,,,3.0,17,,0.1,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
47,Saudi Arabia,20,+9,,,1.0,19,,0.6,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
48,Indonesia,19,+13,,,,19,,0.1,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
49,Oman,18,+2,,,9.0,9,,3.5,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
50,Qatar,18,+3,,,,18,,6.2,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
51,Argentina,17,+5,1.0,,,16,,0.4,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
52,Romania,17,+2,,,5.0,12,,0.9,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
53,Poland,17,+6,,,,17,2.0,0.4,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
54,Pakistan,16,+9,,,1.0,15,,0.1,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
55,Ecuador,15,+1,,,,15,1.0,0.9,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
56,Georgia,15,+2,,,,15,1.0,3.8,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
57,Croatia,13,+1,,,,13,,3.2,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
58,Chile,13,+3,,,,13,,0.7,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
59,Macao,10,,,,10.0,0,,,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
60,Estonia,10,,,,,10,,7.5,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
61,Azerbaijan,9,,,,,9,,0.9,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
62,Costa Rica,9,,,,,9,1.0,1.8,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
63,Hungary,9,+2,,,,9,,0.9,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
64,Peru,9,+2,,,,9,,0.3,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
65,Mexico,7,,,,1.0,6,1.0,0.1,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
66,Slovakia,7,+2,,,,7,,1.3,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
67,South Africa,7,+4,,,,7,,0.1,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
68,Belarus,6,,,,,6,,0.6,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
69,Latvia,6,+3,,,1.0,5,,3.2,https://web.archive.org/web/20200309/https://www.worldometers.info/coronavirus/,2020-03-09
