,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop,ref,date
0,China,81218,+47,3281.0,4.0,73650.0,4287,1399.0,56.0,2.0,https://web.archive.org/web/20200325/https://www.worldometers.info/coronavirus/,2020-03-25
1,Italy,69176,"+5,249",6820.0,743.0,8326.0,54030,3393.0,1144.0,113.0,https://web.archive.org/web/20200325/https://www.worldometers.info/coronavirus/,2020-03-25
2,USA,54856,"+11,075",780.0,225.0,379.0,53697,1175.0,166.0,2.0,https://web.archive.org/web/20200325/https://www.worldometers.info/coronavirus/,2020-03-25
3,Spain,42058,"+6,922",2991.0,680.0,3794.0,35273,2636.0,900.0,64.0,https://web.archive.org/web/20200325/https://www.worldometers.info/coronavirus/,2020-03-25
4,Germany,32991,"+3,935",159.0,36.0,3290.0,29542,23.0,394.0,2.0,https://web.archive.org/web/20200325/https://www.worldometers.info/coronavirus/,2020-03-25
5,Iran,24811,"+1,762",1934.0,122.0,8913.0,13964,,295.0,23.0,https://web.archive.org/web/20200325/https://www.worldometers.info/coronavirus/,2020-03-25
6,France,22304,"+2,448",1100.0,240.0,3281.0,17923,2516.0,342.0,17.0,https://web.archive.org/web/20200325/https://www.worldometers.info/coronavirus/,2020-03-25
7,Switzerland,9877,"+1,082",122.0,2.0,131.0,9624,141.0,1141.0,14.0,https://web.archive.org/web/20200325/https://www.worldometers.info/coronavirus/,2020-03-25
8,S. Korea,9037,+76,120.0,9.0,3507.0,5410,59.0,176.0,2.0,https://web.archive.org/web/20200325/https://www.worldometers.info/coronavirus/,2020-03-25
9,UK,8077,"+1,427",422.0,87.0,135.0,7520,20.0,119.0,6.0,https://web.archive.org/web/20200325/https://www.worldometers.info/coronavirus/,2020-03-25
10,Netherlands,5560,+811,276.0,63.0,2.0,5282,435.0,324.0,16.0,https://web.archive.org/web/20200325/https://www.worldometers.info/coronavirus/,2020-03-25
11,Austria,5283,+809,28.0,7.0,9.0,5246,22.0,587.0,3.0,https://web.archive.org/web/20200325/https://www.worldometers.info/coronavirus/,2020-03-25
12,Belgium,4269,+526,122.0,34.0,461.0,3686,381.0,368.0,11.0,https://web.archive.org/web/20200325/https://www.worldometers.info/coronavirus/,2020-03-25
13,Norway,2866,+241,12.0,2.0,6.0,2848,44.0,529.0,2.0,https://web.archive.org/web/20200325/https://www.worldometers.info/coronavirus/,2020-03-25
14,Canada,2792,+701,26.0,2.0,112.0,2654,1.0,74.0,0.7,https://web.archive.org/web/20200325/https://www.worldometers.info/coronavirus/,2020-03-25
15,Portugal,2362,+302,33.0,10.0,22.0,2307,48.0,232.0,3.0,https://web.archive.org/web/20200325/https://www.worldometers.info/coronavirus/,2020-03-25
16,Australia,2317,+430,8.0,1.0,118.0,2191,11.0,91.0,0.3,https://web.archive.org/web/20200325/https://www.worldometers.info/coronavirus/,2020-03-25
17,Sweden,2299,+253,40.0,13.0,16.0,2243,143.0,228.0,4.0,https://web.archive.org/web/20200325/https://www.worldometers.info/coronavirus/,2020-03-25
18,Brazil,2247,+323,46.0,12.0,2.0,2199,18.0,11.0,0.2,https://web.archive.org/web/20200325/https://www.worldometers.info/coronavirus/,2020-03-25
19,Israel,1930,+488,3.0,2.0,53.0,1874,34.0,223.0,0.3,https://web.archive.org/web/20200325/https://www.worldometers.info/coronavirus/,2020-03-25
20,Turkey,1872,+343,44.0,7.0,,1828,,22.0,0.5,https://web.archive.org/web/20200325/https://www.worldometers.info/coronavirus/,2020-03-25
21,Malaysia,1624,+106,16.0,2.0,183.0,1425,64.0,50.0,0.5,https://web.archive.org/web/20200325/https://www.worldometers.info/coronavirus/,2020-03-25
22,Denmark,1591,+131,32.0,8.0,1.0,1558,69.0,275.0,6.0,https://web.archive.org/web/20200325/https://www.worldometers.info/coronavirus/,2020-03-25
