,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,ref,date
0,China,81093,+39,3270.0,9.0,72703.0,5120,1749.0,56.0,https://web.archive.org/web/20200323/https://www.worldometers.info/coronavirus/,2020-03-23
1,Italy,59138,"+5,560",5476.0,651.0,7024.0,46638,3009.0,978.0,https://web.archive.org/web/20200323/https://www.worldometers.info/coronavirus/,2020-03-23
2,USA,33566,"+9,359",413.0,111.0,178.0,32975,795.0,101.0,https://web.archive.org/web/20200323/https://www.worldometers.info/coronavirus/,2020-03-23
3,Spain,28768,"+3,272",1772.0,391.0,2575.0,24421,1785.0,615.0,https://web.archive.org/web/20200323/https://www.worldometers.info/coronavirus/,2020-03-23
4,Germany,24873,"+2,509",94.0,10.0,266.0,24513,23.0,297.0,https://web.archive.org/web/20200323/https://www.worldometers.info/coronavirus/,2020-03-23
5,Iran,21638,"+1,028",1685.0,129.0,7913.0,12040,,258.0,https://web.archive.org/web/20200323/https://www.worldometers.info/coronavirus/,2020-03-23
6,France,16018,"+1,559",674.0,112.0,2200.0,13144,1746.0,245.0,https://web.archive.org/web/20200323/https://www.worldometers.info/coronavirus/,2020-03-23
7,S. Korea,8897,+98,104.0,2.0,2909.0,5884,59.0,174.0,https://web.archive.org/web/20200323/https://www.worldometers.info/coronavirus/,2020-03-23
8,Switzerland,7474,+611,98.0,18.0,131.0,7245,141.0,864.0,https://web.archive.org/web/20200323/https://www.worldometers.info/coronavirus/,2020-03-23
9,UK,5683,+665,281.0,48.0,93.0,5309,20.0,84.0,https://web.archive.org/web/20200323/https://www.worldometers.info/coronavirus/,2020-03-23
10,Netherlands,4204,+573,179.0,43.0,2.0,4023,354.0,245.0,https://web.archive.org/web/20200323/https://www.worldometers.info/coronavirus/,2020-03-23
11,Austria,3582,+590,16.0,8.0,9.0,3557,15.0,398.0,https://web.archive.org/web/20200323/https://www.worldometers.info/coronavirus/,2020-03-23
12,Belgium,3401,+586,75.0,8.0,263.0,3063,288.0,293.0,https://web.archive.org/web/20200323/https://www.worldometers.info/coronavirus/,2020-03-23
13,Norway,2385,+221,7.0,,6.0,2372,28.0,440.0,https://web.archive.org/web/20200323/https://www.worldometers.info/coronavirus/,2020-03-23
14,Sweden,1934,+164,21.0,1.0,16.0,1897,76.0,191.0,https://web.archive.org/web/20200323/https://www.worldometers.info/coronavirus/,2020-03-23
15,Australia,1609,+537,7.0,,88.0,1514,11.0,63.0,https://web.archive.org/web/20200323/https://www.worldometers.info/coronavirus/,2020-03-23
