,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop,ref,date
39,Singapore,509,+54,2.0,,152.0,355,14.0,87.0,0.3,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
40,Qatar,501,+7,,,33.0,468,6.0,174.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
41,India,499,+103,10.0,3.0,34.0,455,,0.4,0.01,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
42,Philippines,462,+82,33.0,8.0,18.0,411,1.0,4.0,0.3,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
43,Slovenia,442,+28,3.0,1.0,,439,12.0,213.0,1.0,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
44,Russia,438,+71,1.0,,17.0,420,,3.0,0.01,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
45,South Africa,402,+128,,,4.0,398,,7.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
46,Peru,395,+32,5.0,,1.0,389,19.0,12.0,0.2,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
47,Bahrain,377,+43,2.0,,164.0,211,3.0,222.0,1.0,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
48,Egypt,366,+39,19.0,5.0,68.0,279,,4.0,0.2,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
49,Hong Kong,357,+39,4.0,,100.0,253,4.0,48.0,0.5,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
50,Estonia,352,+26,,,4.0,348,4.0,265.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
51,Panama,345,+32,6.0,3.0,1.0,338,33.0,80.0,1.0,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
52,Mexico,316,+65,3.0,1.0,4.0,309,1.0,2.0,0.02,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
53,Croatia,315,+61,1.0,,5.0,309,5.0,77.0,0.2,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
54,Argentina,301,+35,4.0,,51.0,246,,7.0,0.09,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
55,Colombia,277,+46,3.0,1.0,3.0,271,,5.0,0.06,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
56,Lebanon,267,+19,4.0,,8.0,255,4.0,39.0,0.6,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
57,Iraq,266,+33,23.0,3.0,62.0,181,,7.0,0.6,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
58,Serbia,249,+27,3.0,1.0,3.0,243,12.0,28.0,0.3,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
59,Dominican Republic,245,+43,3.0,,3.0,239,,23.0,0.3,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
60,Armenia,235,+41,,,2.0,233,6.0,79.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
61,Algeria,230,+29,17.0,,65.0,148,,5.0,0.4,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
62,Bulgaria,201,+14,3.0,,3.0,195,8.0,29.0,0.4,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
63,UAE,198,+45,2.0,,41.0,155,2.0,20.0,0.2,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
64,Taiwan,195,+26,2.0,,28.0,165,,8.0,0.08,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
65,Kuwait,189,+1,,,30.0,159,5.0,44.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
66,San Marino,187,+12,20.0,,4.0,163,13.0,5511.0,589.0,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
67,Slovakia,186,+1,,,7.0,179,2.0,34.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
68,Latvia,180,+41,,,1.0,179,,95.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
69,Lithuania,179,+36,1.0,,1.0,177,1.0,66.0,0.4,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
70,Hungary,167,+36,8.0,2.0,21.0,138,6.0,17.0,0.8,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
71,Uruguay,162,+4,,,,162,3.0,47.0,,https://web.archive.org/web/20200324/https://www.worldometers.info/coronavirus/,2020-03-24
