,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,"Serious,Critical",ref,date
0,China,80282,12.0,2981.0,,27280,50021.0,6416.0,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
1,S. Korea,5621,435.0,35.0,3.0,5545,41.0,52.0,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
2,Italy,3089,587.0,107.0,28.0,2706,276.0,295.0,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
3,Iran,2922,586.0,92.0,15.0,2278,552.0,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
4,Diamond Princess,706,,6.0,,488,212.0,35.0,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
5,Japan,331,38.0,6.0,,282,43.0,29.0,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
6,France,285,73.0,4.0,,269,12.0,15.0,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
7,Germany,262,59.0,,,246,16.0,2.0,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
8,Spain,228,63.0,2.0,1.0,224,2.0,7.0,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
9,USA,158,34.0,11.0,2.0,138,9.0,8.0,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
10,Singapore,110,,,,32,78.0,7.0,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
11,Hong Kong,103,2.0,2.0,,64,37.0,6.0,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
12,Switzerland,93,35.0,,,90,3.0,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
13,U.K.,87,36.0,,,79,8.0,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
14,Norway,59,26.0,,,59,,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
15,Kuwait,56,,,,56,,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
16,Bahrain,52,3.0,,,51,1.0,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
17,Sweden,52,22.0,,,51,1.0,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
18,Australia,50,11.0,2.0,1.0,27,21.0,1.0,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
19,Malaysia,50,14.0,,,28,22.0,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
20,Thailand,43,,1.0,,12,30.0,1.0,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
21,Taiwan,42,,1.0,,29,12.0,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
22,Netherlands,38,15.0,,,38,,1.0,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
23,Iraq,35,3.0,2.0,2.0,33,,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
24,Canada,33,3.0,,,26,7.0,,https://web.archive.org/web/20200304/https://www.worldometers.info/coronavirus/,2020-03-04
