,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,ref,date
0,China,81008,+41,3255.0,7.0,71740.0,6013,1927.0,56.0,https://web.archive.org/web/20200321/https://www.worldometers.info/coronavirus/,2020-03-21
1,Italy,47021,"+5,986",4032.0,627.0,5129.0,37860,2655.0,778.0,https://web.archive.org/web/20200321/https://www.worldometers.info/coronavirus/,2020-03-21
2,Spain,21571,"+3,494",1093.0,262.0,1588.0,18890,939.0,461.0,https://web.archive.org/web/20200321/https://www.worldometers.info/coronavirus/,2020-03-21
3,Germany,19848,"+4,528",68.0,24.0,180.0,19600,2.0,237.0,https://web.archive.org/web/20200321/https://www.worldometers.info/coronavirus/,2020-03-21
4,Iran,19644,"+1,237",1433.0,149.0,6745.0,11466,,234.0,https://web.archive.org/web/20200321/https://www.worldometers.info/coronavirus/,2020-03-21
5,USA,19383,"+5,594",256.0,49.0,147.0,18980,64.0,59.0,https://web.archive.org/web/20200321/https://www.worldometers.info/coronavirus/,2020-03-21
6,France,12612,"+1,617",450.0,78.0,1587.0,10575,1297.0,193.0,https://web.archive.org/web/20200321/https://www.worldometers.info/coronavirus/,2020-03-21
7,S. Korea,8652,+87,94.0,3.0,2233.0,6325,59.0,169.0,https://web.archive.org/web/20200321/https://www.worldometers.info/coronavirus/,2020-03-21
8,Switzerland,5615,"+1,393",56.0,13.0,15.0,5544,141.0,649.0,https://web.archive.org/web/20200321/https://www.worldometers.info/coronavirus/,2020-03-21
9,UK,3983,+714,177.0,33.0,65.0,3741,20.0,59.0,https://web.archive.org/web/20200321/https://www.worldometers.info/coronavirus/,2020-03-21
10,Netherlands,2994,+534,106.0,30.0,2.0,2886,210.0,175.0,https://web.archive.org/web/20200321/https://www.worldometers.info/coronavirus/,2020-03-21
11,Austria,2649,+470,6.0,,9.0,2634,14.0,294.0,https://web.archive.org/web/20200321/https://www.worldometers.info/coronavirus/,2020-03-21
12,Belgium,2257,+462,37.0,16.0,204.0,2016,164.0,195.0,https://web.archive.org/web/20200321/https://www.worldometers.info/coronavirus/,2020-03-21
13,Norway,1959,+169,7.0,,1.0,1951,27.0,361.0,https://web.archive.org/web/20200321/https://www.worldometers.info/coronavirus/,2020-03-21
14,Sweden,1639,+200,16.0,5.0,16.0,1607,21.0,162.0,https://web.archive.org/web/20200321/https://www.worldometers.info/coronavirus/,2020-03-21
