,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,ref,date
0,China,80703,+8,3098.0,1.0,57339.0,20266,5264.0,56.1,https://web.archive.org/web/20200308/https://www.worldometers.info/coronavirus/,2020-03-08
1,Italy,7375,"+1,492",366.0,133.0,622.0,6387,650.0,122.0,https://web.archive.org/web/20200308/https://www.worldometers.info/coronavirus/,2020-03-08
2,S. Korea,7313,+272,50.0,2.0,130.0,7133,36.0,142.6,https://web.archive.org/web/20200308/https://www.worldometers.info/coronavirus/,2020-03-08
3,Iran,6566,+743,194.0,49.0,2134.0,4238,,78.2,https://web.archive.org/web/20200308/https://www.worldometers.info/coronavirus/,2020-03-08
4,France,1209,+260,19.0,3.0,12.0,1178,45.0,18.5,https://web.archive.org/web/20200308/https://www.worldometers.info/coronavirus/,2020-03-08
5,Germany,1040,+240,,,18.0,1022,9.0,12.4,https://web.archive.org/web/20200308/https://www.worldometers.info/coronavirus/,2020-03-08
6,Diamond Princess,696,,7.0,,245.0,444,32.0,,https://web.archive.org/web/20200308/https://www.worldometers.info/coronavirus/,2020-03-08
7,Spain,674,+149,17.0,7.0,32.0,625,11.0,14.4,https://web.archive.org/web/20200308/https://www.worldometers.info/coronavirus/,2020-03-08
8,USA,538,+103,22.0,3.0,15.0,501,8.0,1.6,https://web.archive.org/web/20200308/https://www.worldometers.info/coronavirus/,2020-03-08
9,Japan,502,+41,7.0,1.0,76.0,419,29.0,4.0,https://web.archive.org/web/20200308/https://www.worldometers.info/coronavirus/,2020-03-08
10,Switzerland,337,+69,2.0,1.0,3.0,332,,38.9,https://web.archive.org/web/20200308/https://www.worldometers.info/coronavirus/,2020-03-08
11,UK,273,+64,3.0,1.0,18.0,252,,4.0,https://web.archive.org/web/20200308/https://www.worldometers.info/coronavirus/,2020-03-08
12,Netherlands,265,+77,3.0,2.0,,262,1.0,15.5,https://web.archive.org/web/20200308/https://www.worldometers.info/coronavirus/,2020-03-08
13,Sweden,203,+42,,,1.0,202,,20.1,https://web.archive.org/web/20200308/https://www.worldometers.info/coronavirus/,2020-03-08
14,Belgium,200,+31,,,1.0,199,1.0,17.3,https://web.archive.org/web/20200308/https://www.worldometers.info/coronavirus/,2020-03-08
15,Norway,176,+20,,,1.0,175,,32.5,https://web.archive.org/web/20200308/https://www.worldometers.info/coronavirus/,2020-03-08
16,Singapore,150,+12,,,90.0,60,9.0,25.6,https://web.archive.org/web/20200308/https://www.worldometers.info/coronavirus/,2020-03-08
17,Hong Kong,115,+7,3.0,1.0,59.0,53,6.0,15.3,https://web.archive.org/web/20200308/https://www.worldometers.info/coronavirus/,2020-03-08
18,Austria,104,+23,,,2.0,102,1.0,11.5,https://web.archive.org/web/20200308/https://www.worldometers.info/coronavirus/,2020-03-08
19,Malaysia,99,+6,,,24.0,75,,3.1,https://web.archive.org/web/20200308/https://www.worldometers.info/coronavirus/,2020-03-08
20,Bahrain,85,,,,14.0,71,,50.0,https://web.archive.org/web/20200308/https://www.worldometers.info/coronavirus/,2020-03-08
