,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,"Serious,Critical",ref,date
0,China,78832,8.0,2789.0,1.0,39521,36522.0,7952.0,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
1,S. Korea,2337,571.0,16.0,3.0,2297,24.0,7.0,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
2,Italy,889,234.0,21.0,4.0,822,46.0,64.0,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
3,Diamond Princess,705,,6.0,2.0,689,10.0,36.0,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
4,Iran,388,143.0,34.0,8.0,281,73.0,,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
5,Japan,233,19.0,5.0,1.0,196,32.0,20.0,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
6,Singapore,96,,,,27,69.0,8.0,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
7,Hong Kong,93,1.0,2.0,,73,18.0,6.0,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
8,USA,63,3.0,,,57,6.0,1.0,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
9,Germany,60,11.0,,,44,16.0,2.0,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
10,France,57,19.0,2.0,,44,11.0,1.0,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
11,Kuwait,45,2.0,,,45,,,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
12,Thailand,41,1.0,,,13,28.0,2.0,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
13,Bahrain,38,5.0,,,38,,,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
14,Taiwan,34,2.0,1.0,,28,5.0,1.0,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
15,Spain,33,8.0,,,31,2.0,2.0,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
16,Australia,25,2.0,,,10,15.0,,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
17,Malaysia,25,3.0,,,5,20.0,,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
18,U.K.,20,4.0,,,12,8.0,,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
19,U.A.E.,19,,,,14,5.0,2.0,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
20,Vietnam,16,,,,0,16.0,,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
21,Canada,15,1.0,,,12,3.0,,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
22,Switzerland,15,7.0,,,15,,,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
23,Sweden,11,4.0,,,11,,,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
24,Macao,10,,,,4,6.0,,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
25,Iraq,8,1.0,,,8,,,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
26,Israel,7,4.0,,,6,1.0,,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
27,Austria,6,1.0,,,6,,,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
28,Norway,6,2.0,,,6,,,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
29,Oman,6,,,,6,,,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
30,Croatia,5,2.0,,,5,,,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
31,Greece,4,1.0,,,4,,,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
32,Lebanon,4,1.0,,,4,,,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
33,Philippines,3,,1.0,,0,2.0,,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
34,Finland,3,1.0,,,2,1.0,,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
35,India,3,,,,0,3.0,,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
36,Romania,3,2.0,,,2,1.0,,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
37,Denmark,2,1.0,,,2,,,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
38,Georgia,2,1.0,,,2,,,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
39,Mexico,2,2.0,,,2,,,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
40,Netherlands,2,1.0,,,2,,,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
41,Pakistan,2,,,,2,,,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
42,Russia,2,,,,0,2.0,,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
43,Afghanistan,1,,,,1,,,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
44,Algeria,1,,,,1,,,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
45,Azerbaijan,1,1.0,,,1,,,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
46,Belarus,1,1.0,,,1,,,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
47,Belgium,1,,,,0,1.0,,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
48,Brazil,1,,,,1,,,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
49,Cambodia,1,,,,0,1.0,,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
50,Egypt,1,,,,0,1.0,,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
51,Estonia,1,,,,1,,,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
52,Iceland,1,1.0,,,1,,,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
53,Lithuania,1,1.0,,,1,,,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
54,North Macedonia,1,,,,1,,,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
55,Monaco,1,1.0,,,1,,,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
56,Nepal,1,,,,0,1.0,,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
57,New Zealand,1,1.0,,,1,,,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
58,Nigeria,1,1.0,,,1,,,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
59,San Marino,1,,,,1,,,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
60,Sri Lanka,1,,,,0,1.0,,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
61,Total:,84188,1075.0,2877.0,19.0,44361,36950.0,8104.0,https://web.archive.org/web/20200228/https://www.worldometers.info/coronavirus/,2020-02-28
