,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,"Serious,Critical",ref,date
50,Georgia,3,,,,3,,,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
51,Russia,3,,,,1,2.0,,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
52,Brazil,2,,,,2,,,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
53,Egypt,2,,,,1,1.0,,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
54,Estonia,2,1.0,,,2,,,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
55,Indonesia,2,,,,2,,,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
56,Ireland,2,1.0,,,2,,,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
57,Senegal,2,1.0,,,2,,,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
58,Afghanistan,1,,,,1,,,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
59,Andorra,1,,,,1,,,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
60,Armenia,1,,,,1,,,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
61,Belarus,1,,,,1,,,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
62,Cambodia,1,,,,0,1.0,,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
63,Dominican Republic,1,,,,1,,,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
64,Jordan,1,,,,1,,,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
65,Latvia,1,,,,1,,,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
66,Lithuania,1,,,,1,,,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
67,Luxembourg,1,,,,1,,,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
68,North Macedonia,1,,,,1,,,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
69,Monaco,1,,,,1,,,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
70,Morocco,1,,,,1,,,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
71,Nepal,1,,,,0,1.0,,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
72,New Zealand,1,,,,1,,,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
73,Nigeria,1,,,,1,,,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
74,Saudi Arabia,1,,,,1,,,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
75,Sri Lanka,1,,,,0,1.0,,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
76,Tunisia,1,,,,1,,,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
77,Ukraine,1,1.0,,,1,,,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
78,Argentina,1,1.0,,,1,,,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
79,Chile,1,1.0,,,1,,,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
80,Liechtenstein,1,1.0,,,1,,,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
81,Total:,92880,2431.0,3168.0,51.0,41218,48494.0,7162.0,https://web.archive.org/web/20200303/https://www.worldometers.info/coronavirus/,2020-03-03
