,"Country, Territory",Total Cases,Feb 8 Cases,Total Deaths,Feb 8 Deaths,Total Recovered,Total Severe,Region,ref,date
0,China,36778,"+2,232",804.0,82.0,2377.0,6101.0,Asia,https://web.archive.org/web/20200208/https://www.worldometers.info/coronavirus/,2020-02-08
1,Japan,89,+3,,,4.0,,Asia,https://web.archive.org/web/20200208/https://www.worldometers.info/coronavirus/,2020-02-08
2,Singapore,40,+7,,,2.0,1.0,Asia,https://web.archive.org/web/20200208/https://www.worldometers.info/coronavirus/,2020-02-08
3,Thailand,32,+7,,,9.0,1.0,Asia,https://web.archive.org/web/20200208/https://www.worldometers.info/coronavirus/,2020-02-08
4,Hong Kong,26,,1.0,,,,Asia,https://web.archive.org/web/20200208/https://www.worldometers.info/coronavirus/,2020-02-08
5,S. Korea,24,,,,2.0,,Asia,https://web.archive.org/web/20200208/https://www.worldometers.info/coronavirus/,2020-02-08
6,Taiwan,17,+1,,,1.0,,Asia,https://web.archive.org/web/20200208/https://www.worldometers.info/coronavirus/,2020-02-08
7,Malaysia,16,+1,,,1.0,,Asia,https://web.archive.org/web/20200208/https://www.worldometers.info/coronavirus/,2020-02-08
8,Australia,15,,,,5.0,,Oceania,https://web.archive.org/web/20200208/https://www.worldometers.info/coronavirus/,2020-02-08
9,Germany,14,,,,,,Europe,https://web.archive.org/web/20200208/https://www.worldometers.info/coronavirus/,2020-02-08
10,Vietnam,13,+1,,,3.0,,Asia,https://web.archive.org/web/20200208/https://www.worldometers.info/coronavirus/,2020-02-08
11,USA,12,,,,3.0,,N.America,https://web.archive.org/web/20200208/https://www.worldometers.info/coronavirus/,2020-02-08
12,France,11,+5,,,,1.0,Europe,https://web.archive.org/web/20200208/https://www.worldometers.info/coronavirus/,2020-02-08
13,Macao,10,,,,1.0,,Asia,https://web.archive.org/web/20200208/https://www.worldometers.info/coronavirus/,2020-02-08
14,Canada,7,,,,,,N.America,https://web.archive.org/web/20200208/https://www.worldometers.info/coronavirus/,2020-02-08
15,U.A.E.,7,,,,,,Asia,https://web.archive.org/web/20200208/https://www.worldometers.info/coronavirus/,2020-02-08
16,Philippines,3,,1.0,,,,Asia,https://web.archive.org/web/20200208/https://www.worldometers.info/coronavirus/,2020-02-08
17,India,3,,,,,,Asia,https://web.archive.org/web/20200208/https://www.worldometers.info/coronavirus/,2020-02-08
18,Italy,3,,,,,2.0,Europe,https://web.archive.org/web/20200208/https://www.worldometers.info/coronavirus/,2020-02-08
19,U.K.,3,,,,,,Europe,https://web.archive.org/web/20200208/https://www.worldometers.info/coronavirus/,2020-02-08
20,Russia,2,,,,,,Europe,https://web.archive.org/web/20200208/https://www.worldometers.info/coronavirus/,2020-02-08
21,Nepal,1,,,,,,Asia,https://web.archive.org/web/20200208/https://www.worldometers.info/coronavirus/,2020-02-08
22,Cambodia,1,,,,1.0,,Asia,https://web.archive.org/web/20200208/https://www.worldometers.info/coronavirus/,2020-02-08
23,Finland,1,,,,1.0,,Europe,https://web.archive.org/web/20200208/https://www.worldometers.info/coronavirus/,2020-02-08
24,Sri Lanka,1,,,,1.0,,Asia,https://web.archive.org/web/20200208/https://www.worldometers.info/coronavirus/,2020-02-08
25,Sweden,1,,,,,,Europe,https://web.archive.org/web/20200208/https://www.worldometers.info/coronavirus/,2020-02-08
26,Belgium,1,,,,,,Europe,https://web.archive.org/web/20200208/https://www.worldometers.info/coronavirus/,2020-02-08
27,Spain,1,,,,,,Europe,https://web.archive.org/web/20200208/https://www.worldometers.info/coronavirus/,2020-02-08
