,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,ref,date
0,China,80761,7.0,3136.0,,60124.0,17501,4794.0,56.1,https://web.archive.org/web/20200310/https://www.worldometers.info/coronavirus/,2020-03-10
1,Italy,10149,977.0,631.0,168.0,1004.0,8514,877.0,167.9,https://web.archive.org/web/20200310/https://www.worldometers.info/coronavirus/,2020-03-10
2,Iran,8042,881.0,291.0,54.0,2731.0,5020,,95.7,https://web.archive.org/web/20200310/https://www.worldometers.info/coronavirus/,2020-03-10
3,S. Korea,7513,35.0,58.0,5.0,247.0,7208,54.0,146.5,https://web.archive.org/web/20200310/https://www.worldometers.info/coronavirus/,2020-03-10
4,France,1784,372.0,33.0,3.0,12.0,1739,86.0,27.3,https://web.archive.org/web/20200310/https://www.worldometers.info/coronavirus/,2020-03-10
5,Spain,1695,464.0,36.0,6.0,135.0,1524,101.0,36.3,https://web.archive.org/web/20200310/https://www.worldometers.info/coronavirus/,2020-03-10
6,Germany,1565,341.0,2.0,,18.0,1545,9.0,18.7,https://web.archive.org/web/20200310/https://www.worldometers.info/coronavirus/,2020-03-10
7,USA,975,271.0,30.0,4.0,15.0,930,8.0,2.9,https://web.archive.org/web/20200310/https://www.worldometers.info/coronavirus/,2020-03-10
8,Diamond Princess,696,,7.0,,245.0,444,32.0,,https://web.archive.org/web/20200310/https://www.worldometers.info/coronavirus/,2020-03-10
9,Japan,587,57.0,10.0,1.0,102.0,475,31.0,4.6,https://web.archive.org/web/20200310/https://www.worldometers.info/coronavirus/,2020-03-10
10,Switzerland,497,123.0,3.0,1.0,3.0,491,,57.4,https://web.archive.org/web/20200310/https://www.worldometers.info/coronavirus/,2020-03-10
11,Norway,400,173.0,,,1.0,399,,73.8,https://web.archive.org/web/20200310/https://www.worldometers.info/coronavirus/,2020-03-10
12,UK,383,62.0,6.0,1.0,18.0,359,,5.6,https://web.archive.org/web/20200310/https://www.worldometers.info/coronavirus/,2020-03-10
