,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,Reported1st case,ref,date
163,Greenland,10,,,,2.0,8,,176.0,,Mar 15,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
164,Libya,10,+2,,,1.0,9,,1.0,,Mar 23,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
165,Seychelles,10,+2,,,,10,,102.0,,Mar 13,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
166,Benin,9,+3,,,1.0,8,,0.7,,Mar 15,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
167,Grenada,9,,,,,9,,80.0,,Mar 21,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
168,Laos,9,+1,,,,9,,1.0,,Mar 23,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
169,Suriname,9,+1,,,,9,,15.0,,Mar 12,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
170,Eswatini,9,,,,,9,,8.0,,Mar 13,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
171,Zimbabwe,8,+1,1.0,,,7,,0.5,0.07,Mar 19,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
172,Guinea-Bissau,8,,,,,8,,4.0,,Mar 24,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
173,Mozambique,8,,,,,8,,0.3,,Mar 21,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
174,Saint Kitts and Nevis,8,+1,,,,8,,150.0,,Mar 24,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
175,Angola,7,,2.0,,1.0,4,,0.2,0.06,Mar 19,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
176,Sudan,7,+1,2.0,,1.0,4,,0.2,0.05,Mar 12,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
177,Antigua and Barbuda,7,,,,,7,,71.0,,Mar 12,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
178,Chad,7,+2,,,,7,,0.4,,Mar 18,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
179,Cabo Verde,6,,1.0,,,5,,11.0,2.0,Mar 19,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
180,Mauritania,6,,1.0,,2.0,3,,1.0,0.2,Mar 12,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
181,Vatican City,6,,,,,6,,7491.0,,Mar 05,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
182,St. Barth,6,,,,1.0,5,,607.0,,Feb 29,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
183,Sint Maarten,6,,,,,6,,140.0,,Mar 17,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
184,Nicaragua,5,+1,1.0,,,4,,0.8,0.2,Mar 18,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
185,Nepal,5,,,,1.0,4,,0.2,,Jan 23,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
186,Fiji,5,,,,,5,,6.0,,Mar 18,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
187,Montserrat,5,,,,,5,,1002.0,,Mar 17,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
188,Somalia,5,+2,,,1.0,4,,0.3,,Mar 15,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
189,Turks and Caicos,5,,,,,5,,129.0,,Mar 22,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
190,Botswana,4,+1,1.0,+1,,3,,2.0,0.4,Mar 29,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
191,Gambia,4,,1.0,,,3,,2.0,0.4,Mar 16,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
192,Bhutan,4,,,,,4,,5.0,,Mar 05,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
193,Belize,3,,,,,3,,8.0,,Mar 22,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
194,British Virgin Islands,3,+1,,,,3,,99.0,,Mar 24,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
195,CAR,3,,,,,3,,0.6,,Mar 14,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
196,Liberia,3,,,,,3,,0.6,,Mar 15,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
197,MS Zaandam,2,,,,,2,,,,Mar 26,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
198,Anguilla,2,,,,,2,,133.0,,Mar 25,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
199,Burundi,2,+2,,,,2,,0.2,,Mar 30,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
200,Papua New Guinea,1,,,,,1,,0.1,,Mar 19,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
201,St. Vincent Grenadines,1,,,,1.0,0,,9.0,,Mar 10,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
202,Sierra Leone,1,+1,,,,1,,0.1,,Mar 30,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
203,Timor-Leste,1,,,,,1,,0.8,,Mar 20,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
204,Total:,858355,"+73,617",42309.0,"+4,535",178117.0,637929,32836.0,110.1,5.4,,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
