,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,Reported1st case,ref,date
10,Belgium,12775,+876,705.0,+192,1696.0,10374,1021.0,1102.0,61.0,Feb 03,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
11,Netherlands,12595,+845,1039.0,+175,250.0,11306,1053.0,735.0,61.0,Feb 26,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
12,Austria,10180,+562,128.0,+20,1095.0,8957,198.0,1130.0,14.0,Feb 24,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
13,S. Korea,9786,+125,162.0,+4,5408.0,4216,55.0,191.0,3.0,Jan 19,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
14,Canada,8612,"+1,164",101.0,+12,1242.0,7269,120.0,228.0,3.0,Jan 24,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
15,Portugal,7443,"+1,035",160.0,+20,43.0,7240,188.0,730.0,16.0,Mar 01,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
16,Brazil,5717,"+1,087",201.0,+38,127.0,5389,296.0,27.0,0.9,Feb 24,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
17,Israel,5358,+663,20.0,+4,224.0,5114,94.0,619.0,2.0,Feb 20,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
18,Australia,4763,+303,20.0,+1,345.0,4398,28.0,187.0,0.8,Jan 24,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
19,Norway,4641,+196,39.0,+7,13.0,4589,97.0,856.0,7.0,Feb 25,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
20,Sweden,4435,+407,180.0,+34,16.0,4239,358.0,439.0,18.0,Jan 30,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
21,Czechia,3308,+307,31.0,+8,45.0,3232,64.0,309.0,3.0,Feb 29,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
22,Ireland,3235,+325,71.0,+17,5.0,3159,103.0,655.0,14.0,Feb 28,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
23,Denmark,2860,+283,90.0,+13,1.0,2769,145.0,494.0,16.0,Feb 26,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
24,Malaysia,2766,+140,43.0,+6,537.0,2186,94.0,85.0,1.0,Jan 24,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
25,Chile,2738,+289,12.0,+4,156.0,2570,14.0,143.0,0.6,Mar 02,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
26,Russia,2337,+501,17.0,+8,121.0,2199,8.0,16.0,0.1,Jan 30,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
27,Poland,2311,+256,33.0,+2,7.0,2271,50.0,61.0,0.9,Mar 03,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
28,Ecuador,2302,+336,79.0,+17,58.0,2165,100.0,130.0,4.0,Feb 28,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
29,Romania,2245,+136,82.0,+17,220.0,1943,62.0,117.0,4.0,Feb 25,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
30,Japan,2178,+225,57.0,+1,424.0,1697,69.0,17.0,0.5,Jan 14,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
31,Luxembourg,2178,+190,23.0,+1,80.0,2075,31.0,3479.0,37.0,Feb 28,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
32,Philippines,2084,+538,88.0,+10,49.0,1947,1.0,19.0,0.8,Jan 29,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
33,Pakistan,1938,+221,26.0,+5,76.0,1836,12.0,9.0,0.1,Feb 25,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
34,Thailand,1651,+127,10.0,+1,342.0,1299,23.0,24.0,0.1,Jan 12,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
35,Saudi Arabia,1563,+110,10.0,+2,165.0,1388,31.0,45.0,0.3,Mar 01,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
36,Indonesia,1528,+114,136.0,+14,81.0,1311,,6.0,0.5,Mar 01,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
37,Finland,1418,+66,17.0,+4,10.0,1391,56.0,256.0,3.0,Jan 28,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
38,India,1397,+146,35.0,+3,123.0,1239,,1.0,0.03,Jan 29,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
39,South Africa,1353,+27,5.0,+2,31.0,1317,7.0,23.0,0.08,Mar 04,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
40,Greece,1314,+102,49.0,+3,52.0,1213,72.0,126.0,5.0,Feb 25,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
41,Panama,1181,+106,30.0,+3,9.0,1142,50.0,274.0,7.0,Mar 09,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
42,Iceland,1135,+49,2.0,,198.0,935,11.0,3326.0,6.0,Feb 27,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
43,Dominican Republic,1109,+208,51.0,+9,5.0,1053,,102.0,5.0,Feb 29,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
44,Mexico,1094,+101,28.0,+8,35.0,1031,1.0,8.0,0.2,Feb 27,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
45,Peru,1065,+115,30.0,+6,394.0,641,49.0,32.0,0.9,Mar 05,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
46,Argentina,1054,+234,27.0,+4,240.0,787,,23.0,0.6,Mar 02,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
47,Singapore,926,+47,3.0,,240.0,683,22.0,158.0,0.5,Jan 22,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
48,Colombia,906,+108,16.0,+2,31.0,859,35.0,18.0,0.3,Mar 05,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
49,Serbia,900,+115,23.0,+7,42.0,835,62.0,103.0,3.0,Mar 05,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
50,Croatia,867,+77,6.0,,67.0,794,32.0,211.0,1.0,Feb 24,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
51,Slovenia,802,+46,15.0,+4,10.0,777,24.0,386.0,7.0,Mar 03,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
52,Qatar,781,+88,2.0,+1,62.0,717,6.0,271.0,0.7,Feb 28,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
53,Estonia,745,+30,4.0,+1,26.0,715,13.0,562.0,3.0,Feb 26,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
54,Algeria,716,+132,44.0,+9,46.0,626,,16.0,1.0,Feb 24,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
55,Hong Kong,715,+32,4.0,,128.0,583,5.0,95.0,0.5,Jan 22,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
56,Diamond Princess,712,,11.0,,603.0,98,15.0,,,Feb 04,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
57,Egypt,710,+54,46.0,+5,157.0,507,,7.0,0.4,Feb 13,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
58,Iraq,694,+64,50.0,+4,170.0,474,,17.0,1.0,Feb 21,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
59,UAE,664,+53,6.0,+1,61.0,597,2.0,67.0,0.6,Jan 28,https://web.archive.org/web/20200401/https://www.worldometers.info/coronavirus/,2020-04-01
