,"Country, Other",Total Cases,New Cases,Total Deaths,NewDeaths,Total Recovered,"Serious, Critical",Region,ref,date
0,China,74577,392.0,2118.0,114.0,16233.0,12017.0,Asia,https://web.archive.org/web/20200219/https://www.worldometers.info/coronavirus/,2020-02-19
1,Diamond Princess,621,,,,17.0,28.0,,https://web.archive.org/web/20200219/https://www.worldometers.info/coronavirus/,2020-02-19
2,Japan,85,1.0,1.0,,20.0,4.0,Asia,https://web.archive.org/web/20200219/https://www.worldometers.info/coronavirus/,2020-02-19
3,Singapore,84,,,,34.0,4.0,Asia,https://web.archive.org/web/20200219/https://www.worldometers.info/coronavirus/,2020-02-19
4,S. Korea,82,24.0,,,16.0,,Asia,https://web.archive.org/web/20200219/https://www.worldometers.info/coronavirus/,2020-02-19
5,Hong Kong,65,,2.0,,5.0,6.0,Asia,https://web.archive.org/web/20200219/https://www.worldometers.info/coronavirus/,2020-02-19
6,Thailand,35,,,,17.0,2.0,Asia,https://web.archive.org/web/20200219/https://www.worldometers.info/coronavirus/,2020-02-19
7,Taiwan,23,,1.0,,2.0,,Asia,https://web.archive.org/web/20200219/https://www.worldometers.info/coronavirus/,2020-02-19
8,Malaysia,22,,,,15.0,,Asia,https://web.archive.org/web/20200219/https://www.worldometers.info/coronavirus/,2020-02-19
9,Germany,16,,,,9.0,,Europe,https://web.archive.org/web/20200219/https://www.worldometers.info/coronavirus/,2020-02-19
10,Vietnam,16,,,,14.0,,Asia,https://web.archive.org/web/20200219/https://www.worldometers.info/coronavirus/,2020-02-19
11,Australia,15,,,,10.0,,Oceania,https://web.archive.org/web/20200219/https://www.worldometers.info/coronavirus/,2020-02-19
12,USA,15,,,,3.0,,N.America,https://web.archive.org/web/20200219/https://www.worldometers.info/coronavirus/,2020-02-19
13,France,12,,1.0,,7.0,,Europe,https://web.archive.org/web/20200219/https://www.worldometers.info/coronavirus/,2020-02-19
14,Macao,10,,,,5.0,,Asia,https://web.archive.org/web/20200219/https://www.worldometers.info/coronavirus/,2020-02-19
15,U.K.,9,,,,8.0,,Europe,https://web.archive.org/web/20200219/https://www.worldometers.info/coronavirus/,2020-02-19
16,U.A.E.,9,,,,3.0,1.0,Asia,https://web.archive.org/web/20200219/https://www.worldometers.info/coronavirus/,2020-02-19
17,Canada,8,,,,1.0,,N.America,https://web.archive.org/web/20200219/https://www.worldometers.info/coronavirus/,2020-02-19
18,Philippines,3,,1.0,,2.0,,Asia,https://web.archive.org/web/20200219/https://www.worldometers.info/coronavirus/,2020-02-19
19,India,3,,,,3.0,,Asia,https://web.archive.org/web/20200219/https://www.worldometers.info/coronavirus/,2020-02-19
20,Italy,3,,,,,2.0,Europe,https://web.archive.org/web/20200219/https://www.worldometers.info/coronavirus/,2020-02-19
21,Iran,2,,2.0,,,,Asia,https://web.archive.org/web/20200219/https://www.worldometers.info/coronavirus/,2020-02-19
22,Russia,2,,,,2.0,,Europe,https://web.archive.org/web/20200219/https://www.worldometers.info/coronavirus/,2020-02-19
23,Spain,2,,,,2.0,,Europe,https://web.archive.org/web/20200219/https://www.worldometers.info/coronavirus/,2020-02-19
24,Belgium,1,,,,1.0,,Europe,https://web.archive.org/web/20200219/https://www.worldometers.info/coronavirus/,2020-02-19
25,Cambodia,1,,,,1.0,,Asia,https://web.archive.org/web/20200219/https://www.worldometers.info/coronavirus/,2020-02-19
26,Egypt,1,,,,,,Africa,https://web.archive.org/web/20200219/https://www.worldometers.info/coronavirus/,2020-02-19
27,Finland,1,,,,1.0,,Europe,https://web.archive.org/web/20200219/https://www.worldometers.info/coronavirus/,2020-02-19
28,Nepal,1,,,,1.0,,Asia,https://web.archive.org/web/20200219/https://www.worldometers.info/coronavirus/,2020-02-19
29,Sri Lanka,1,,,,1.0,,Asia,https://web.archive.org/web/20200219/https://www.worldometers.info/coronavirus/,2020-02-19
30,Sweden,1,,,,,,Europe,https://web.archive.org/web/20200219/https://www.worldometers.info/coronavirus/,2020-02-19
