,"Country, Territory",Total Cases,"Feb 9,10 Cases",Total Deaths,"Feb 9,10 Deaths",Total Recovered,Total Severe,Region,ref,date
0,China,40199,"+3,001",908.0,97.0,3623.0,6484.0,Asia,https://web.archive.org/web/20200210/https://www.worldometers.info/coronavirus/,2020-02-10
1,Japan,161,+72,,,4.0,,Asia,https://web.archive.org/web/20200210/https://www.worldometers.info/coronavirus/,2020-02-10
2,Singapore,45,+5,,,7.0,7.0,Asia,https://web.archive.org/web/20200210/https://www.worldometers.info/coronavirus/,2020-02-10
3,Hong Kong,42,+16,1.0,,,,Asia,https://web.archive.org/web/20200210/https://www.worldometers.info/coronavirus/,2020-02-10
4,Thailand,32,,,,10.0,1.0,Asia,https://web.archive.org/web/20200210/https://www.worldometers.info/coronavirus/,2020-02-10
5,S. Korea,27,+3,,,3.0,,Asia,https://web.archive.org/web/20200210/https://www.worldometers.info/coronavirus/,2020-02-10
6,Taiwan,18,+1,,,1.0,,Asia,https://web.archive.org/web/20200210/https://www.worldometers.info/coronavirus/,2020-02-10
7,Malaysia,18,+2,,,3.0,,Asia,https://web.archive.org/web/20200210/https://www.worldometers.info/coronavirus/,2020-02-10
8,Australia,15,,,,5.0,,Oceania,https://web.archive.org/web/20200210/https://www.worldometers.info/coronavirus/,2020-02-10
9,Vietnam,14,+1,,,3.0,,Asia,https://web.archive.org/web/20200210/https://www.worldometers.info/coronavirus/,2020-02-10
10,Germany,14,,,,,,Europe,https://web.archive.org/web/20200210/https://www.worldometers.info/coronavirus/,2020-02-10
11,USA,12,,,,3.0,,N.America,https://web.archive.org/web/20200210/https://www.worldometers.info/coronavirus/,2020-02-10
12,France,11,,,,,1.0,Europe,https://web.archive.org/web/20200210/https://www.worldometers.info/coronavirus/,2020-02-10
13,Macao,10,,,,1.0,,Asia,https://web.archive.org/web/20200210/https://www.worldometers.info/coronavirus/,2020-02-10
14,U.K.,8,+5,,,,,Europe,https://web.archive.org/web/20200210/https://www.worldometers.info/coronavirus/,2020-02-10
15,U.A.E.,8,+1,,,1.0,,Asia,https://web.archive.org/web/20200210/https://www.worldometers.info/coronavirus/,2020-02-10
16,Canada,7,,,,,,N.America,https://web.archive.org/web/20200210/https://www.worldometers.info/coronavirus/,2020-02-10
17,Philippines,3,,1.0,,2.0,,Asia,https://web.archive.org/web/20200210/https://www.worldometers.info/coronavirus/,2020-02-10
18,India,3,,,,,,Asia,https://web.archive.org/web/20200210/https://www.worldometers.info/coronavirus/,2020-02-10
19,Italy,3,,,,,2.0,Europe,https://web.archive.org/web/20200210/https://www.worldometers.info/coronavirus/,2020-02-10
20,Russia,2,,,,,,Europe,https://web.archive.org/web/20200210/https://www.worldometers.info/coronavirus/,2020-02-10
21,Spain,2,+1,,,,,Europe,https://web.archive.org/web/20200210/https://www.worldometers.info/coronavirus/,2020-02-10
22,Finland,1,,,,1.0,,Europe,https://web.archive.org/web/20200210/https://www.worldometers.info/coronavirus/,2020-02-10
23,Nepal,1,,,,,,Asia,https://web.archive.org/web/20200210/https://www.worldometers.info/coronavirus/,2020-02-10
24,Sweden,1,,,,,,Europe,https://web.archive.org/web/20200210/https://www.worldometers.info/coronavirus/,2020-02-10
25,Sri Lanka,1,,,,1.0,,Asia,https://web.archive.org/web/20200210/https://www.worldometers.info/coronavirus/,2020-02-10
26,Cambodia,1,,,,1.0,,Asia,https://web.archive.org/web/20200210/https://www.worldometers.info/coronavirus/,2020-02-10
27,Belgium,1,,,,,,Europe,https://web.archive.org/web/20200210/https://www.worldometers.info/coronavirus/,2020-02-10
