,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,ref,date
40,Thailand,147,+33,1.0,,35.0,111,1.0,2.1,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
41,Philippines,142,+2,12.0,,5.0,125,1.0,1.3,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
42,Indonesia,134,+17,5.0,,8.0,121,,0.5,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
43,Iraq,133,+9,10.0,,32.0,91,,3.3,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
44,Saudi Arabia,133,+15,,,6.0,127,,3.8,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
45,India,129,+15,2.0,,13.0,114,,0.1,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
46,Kuwait,123,+11,,,9.0,114,4.0,28.8,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
47,San Marino,109,,7.0,,4.0,98,11.0,,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
48,Lebanon,109,,3.0,,3.0,103,3.0,16.0,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
49,UAE,98,,,,23.0,75,2.0,9.9,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
50,Russia,93,+30,,,8.0,85,,0.6,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
51,Peru,86,+15,,,1.0,85,8.0,2.6,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
52,Luxembourg,81,+4,1.0,,,80,10.0,,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
53,Slovakia,72,+11,,,,72,,13.2,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
54,Taiwan,67,+8,1.0,,20.0,46,,2.8,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
55,South Africa,64,+3,,,,64,,1.1,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
56,Bulgaria,62,+11,2.0,,,60,,8.9,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
57,Vietnam,61,+4,,,16.0,45,,0.6,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
58,Algeria,60,+6,4.0,,10.0,46,,1.4,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
59,Ecuador,58,+21,2.0,,,56,2.0,3.3,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
60,Croatia,57,+8,,,3.0,54,,13.9,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
61,Serbia,57,+9,,,1.0,56,2.0,6.5,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
62,Argentina,56,,2.0,,3.0,51,1.0,1.2,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
63,Panama,55,,1.0,,,54,,12.7,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
64,Brunei,54,+4,,,,54,1.0,,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
65,Colombia,54,+20,,,1.0,53,,1.1,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
66,Mexico,53,+10,,,4.0,49,1.0,0.4,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
67,Armenia,52,+24,,,1.0,51,2.0,17.5,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
68,Albania,51,+9,1.0,,,50,2.0,17.7,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
69,Turkey,47,+29,,,,47,,0.6,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
70,Cyprus,46,+13,,,,46,1.0,38.1,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
71,Costa Rica,41,+6,,,,41,3.0,8.0,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
72,Hungary,39,+7,1.0,,2.0,36,,4.0,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
73,Palestine,39,+1,,,,39,,7.6,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
74,Morocco,38,+10,1.0,,1.0,36,1.0,1.0,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
75,Belarus,36,+9,,,3.0,33,,3.8,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
76,Latvia,34,+4,,,1.0,33,,18.0,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
77,Georgia,33,,,,1.0,32,1.0,8.3,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
78,Malta,30,+9,,,2.0,28,,,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
79,Jordan,29,+17,,,1.0,28,,2.8,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
80,Moldova,29,+6,,,1.0,28,1.0,7.2,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
81,Uruguay,29,+23,,,,29,,8.3,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
82,Sri Lanka,28,+10,,,1.0,27,,1.3,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
83,Azerbaijan,25,+2,1.0,,6.0,18,,2.5,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
84,Bosnia and Herzegovina,25,+1,,,2.0,23,,7.6,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
85,Senegal,24,,,,2.0,22,,1.4,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
86,Oman,22,,,,9.0,13,,4.3,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
87,Afghanistan,21,+5,,,1.0,20,,0.5,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
88,Dominican Republic,21,+10,,,,21,,1.9,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
89,Tunisia,20,,,,,20,2.0,1.7,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
90,North Macedonia,19,,,,1.0,18,1.0,9.1,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
91,Lithuania,18,+4,,,1.0,17,,6.6,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
92,Faeroe Islands,18,+7,,,,18,,,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
93,Venezuela,17,,,,,17,,0.6,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
94,Burkina Faso,15,+12,,,,15,,0.7,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
95,Jamaica,15,+5,,,2.0,13,,5.1,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
96,Martinique,15,+5,,,,15,,,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
97,Andorra,14,+9,,,,14,,,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
98,Maldives,13,,,,,13,,,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
99,Cambodia,12,,,,1.0,11,,0.7,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
100,Macao,11,,,,10.0,1,,,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
101,Bolivia,11,+1,,,,11,,0.9,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
102,French Guiana,11,+4,,,,11,,,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
103,Kazakhstan,10,+1,,,,10,,0.5,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
104,Réunion,9,+2,,,,9,,,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
105,Guatemala,8,+7,1.0,,,7,,0.4,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
106,New Zealand,8,,,,,8,,1.7,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
107,Bangladesh,8,+3,,,3.0,5,,,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
108,Paraguay,8,,,,,8,1.0,1.1,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
109,Uzbekistan,8,+4,,,,8,,0.2,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
110,Guyana,7,+3,1.0,,,6,,,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
111,Ukraine,7,+4,1.0,,,6,,0.2,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
112,Liechtenstein,7,,,,,7,,,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
113,Rwanda,7,+2,,,,7,,0.5,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
114,Monaco,6,+4,,,,6,,,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
115,Channel Islands,6,+3,,,,6,,,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
116,Ghana,6,,,,,6,,0.2,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
117,Guadeloupe,6,+1,,,,6,,,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
118,Honduras,6,+3,,,,6,,0.6,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
119,Cameroon,5,+1,,,,5,,0.2,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
120,Ethiopia,5,+1,,,,5,,,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
121,Puerto Rico,5,,,,,5,,1.7,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
122,Ivory Coast,4,,,,,4,,0.2,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
123,Cuba,4,,,,,4,,0.4,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
124,Mongolia,4,+3,,,,4,,1.2,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
125,Trinidad and Tobago,4,+2,,,,4,,2.9,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
126,French Polynesia,3,,,,,3,,,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
127,Gibraltar,3,+2,,,1.0,2,,,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
128,Guam,3,,,,,3,,,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
129,Kenya,3,,,,,3,,0.1,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
130,St. Barth,3,+2,,,,3,,,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
131,Seychelles,3,,,,,3,,,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
132,Nigeria,2,,,,1.0,1,,,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
133,Aruba,2,,,,,2,,,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
134,Curaçao,2,,,,,2,,,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
135,DRC,2,,,,,2,,,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
136,Namibia,2,,,,,2,,0.8,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
137,Saint Lucia,2,,,,,2,,,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
138,Saint Martin,2,,,,,2,,,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
139,Cayman Islands,1,,1.0,1.0,,0,,,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
140,Sudan,1,,1.0,,,0,,,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
141,Nepal,1,,,,1.0,0,,,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
142,Antigua and Barbuda,1,,,,,1,,,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
143,Bahamas,1,,,,,1,,,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
144,Benin,1,+1,,,,1,,0.1,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
145,Bhutan,1,,,,,1,,,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
146,CAR,1,,,,,1,,0.2,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
147,Congo,1,,,,,1,,0.2,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
148,Equatorial Guinea,1,,,,,1,,0.7,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
149,Gabon,1,,,,,1,,0.4,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
150,Greenland,1,+1,,,,1,,,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
151,Guinea,1,,,,,1,,0.1,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
152,Vatican City,1,,,,,1,,,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
153,Liberia,1,+1,,,,1,,0.2,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
154,Mauritania,1,,,,,1,,0.2,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
155,Mayotte,1,,,,,1,,,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
156,St. Vincent Grenadines,1,,,,,1,,,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
157,Somalia,1,+1,,,,1,,0.1,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
158,Suriname,1,,,,,1,,,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
159,Eswatini,1,,,,,1,,0.9,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
160,Tanzania,1,+1,,,,1,,,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
161,Togo,1,,,,,1,,0.1,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
162,U.S. Virgin Islands,1,,,,,1,,,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
163,Total:,182429,12865,7157.0,638.0,79211.0,96061,6163.0,23.4,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
