,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,ref,date
0,China,80881,+21,3226.0,13.0,68688.0,8967,3226.0,56.2,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
1,Italy,27980,"+3,233",2158.0,349.0,2749.0,23073,1851.0,,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
2,Iran,14991,"+1,053",853.0,129.0,4590.0,9548,,178.5,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
3,Spain,9942,"+1,954",342.0,48.0,530.0,9070,272.0,212.6,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
4,S. Korea,8236,+74,75.0,,1137.0,7024,59.0,160.6,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
5,Germany,7272,"+1,459",17.0,4.0,67.0,7188,2.0,86.8,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
6,France,6633,"+1,210",148.0,21.0,12.0,6473,400.0,101.6,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
7,USA,4663,+983,86.0,18.0,74.0,4503,12.0,14.1,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
8,Switzerland,2353,+136,19.0,5.0,4.0,2330,,271.9,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
9,UK,1543,+152,55.0,20.0,52.0,1436,20.0,22.7,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
10,Netherlands,1413,+278,24.0,4.0,2.0,1387,45.0,82.5,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
11,Norway,1348,+92,3.0,,1.0,1344,27.0,248.7,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
12,Sweden,1121,+81,7.0,4.0,1.0,1113,2.0,111.0,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
13,Belgium,1058,+172,10.0,6.0,1.0,1047,33.0,91.3,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
14,Austria,1018,+158,3.0,2.0,8.0,1007,12.0,113.0,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
15,Denmark,914,+50,4.0,2.0,1.0,909,10.0,157.8,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
16,Japan,827,,27.0,3.0,144.0,656,41.0,6.5,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
17,Diamond Princess,696,,7.0,,456.0,233,15.0,,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
18,Malaysia,566,+138,,,42.0,524,9.0,17.5,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
19,Canada,441,+100,4.0,3.0,11.0,426,1.0,11.7,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
20,Qatar,439,+38,,,4.0,435,,152.4,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
21,Australia,401,+101,5.0,,27.0,369,1.0,15.7,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
22,Greece,352,+21,4.0,,8.0,340,5.0,33.8,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
23,Czechia,344,+51,,,3.0,341,2.0,32.1,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
24,Portugal,331,+86,1.0,1.0,3.0,327,18.0,32.5,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
25,Israel,298,+85,,,4.0,294,4.0,34.4,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
26,Finland,278,+34,,,10.0,268,1.0,50.2,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
27,Slovenia,253,+34,1.0,,,252,3.0,121.7,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
28,Singapore,243,+17,,,109.0,134,11.0,41.5,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
29,Brazil,234,+34,,,2.0,232,2.0,1.1,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
30,Bahrain,228,+14,1.0,1.0,81.0,146,1.0,134.0,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
31,Ireland,223,+53,2.0,,5.0,216,6.0,45.2,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
32,Estonia,205,+34,,,1.0,204,,154.5,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
33,Iceland,199,+19,,,,199,1.0,,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
34,Pakistan,184,+131,1.0,1.0,2.0,181,,0.8,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
35,Poland,177,+52,4.0,1.0,,173,3.0,4.7,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
36,Romania,168,+29,,,9.0,159,2.0,8.7,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
37,Egypt,166,+40,4.0,2.0,32.0,130,,1.6,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
38,Chile,156,+81,,,,156,,8.2,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
39,Hong Kong,155,+6,4.0,,81.0,70,4.0,20.7,https://web.archive.org/web/20200316/https://www.worldometers.info/coronavirus/,2020-03-16
