,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop,ref,date
0,China,81285,+67,3287.0,6.0,74051.0,3947,1235.0,56.0,2.0,https://web.archive.org/web/20200326/https://www.worldometers.info/coronavirus/,2020-03-26
1,Italy,74386,"+5,210",7503.0,683.0,9362.0,57521,3489.0,1230.0,124.0,https://web.archive.org/web/20200326/https://www.worldometers.info/coronavirus/,2020-03-26
2,USA,68211,"+13,355",1027.0,247.0,394.0,66790,1452.0,206.0,3.0,https://web.archive.org/web/20200326/https://www.worldometers.info/coronavirus/,2020-03-26
3,Spain,49515,"+7,457",3647.0,656.0,5367.0,40501,3166.0,1059.0,78.0,https://web.archive.org/web/20200326/https://www.worldometers.info/coronavirus/,2020-03-26
4,Germany,37323,"+4,332",206.0,47.0,3547.0,33570,23.0,445.0,2.0,https://web.archive.org/web/20200326/https://www.worldometers.info/coronavirus/,2020-03-26
5,Iran,27017,"+2,206",2077.0,143.0,9625.0,15315,,322.0,25.0,https://web.archive.org/web/20200326/https://www.worldometers.info/coronavirus/,2020-03-26
6,France,25233,"+2,929",1331.0,231.0,3900.0,20002,2827.0,387.0,20.0,https://web.archive.org/web/20200326/https://www.worldometers.info/coronavirus/,2020-03-26
7,Switzerland,10897,"+1,020",153.0,31.0,131.0,10613,141.0,1259.0,18.0,https://web.archive.org/web/20200326/https://www.worldometers.info/coronavirus/,2020-03-26
8,UK,9529,"+1,452",463.0,41.0,135.0,8931,163.0,140.0,7.0,https://web.archive.org/web/20200326/https://www.worldometers.info/coronavirus/,2020-03-26
9,S. Korea,9137,+100,126.0,6.0,3730.0,5281,59.0,178.0,2.0,https://web.archive.org/web/20200326/https://www.worldometers.info/coronavirus/,2020-03-26
10,Netherlands,6412,+852,356.0,80.0,3.0,6053,582.0,374.0,21.0,https://web.archive.org/web/20200326/https://www.worldometers.info/coronavirus/,2020-03-26
11,Austria,5588,+305,31.0,3.0,9.0,5548,28.0,620.0,3.0,https://web.archive.org/web/20200326/https://www.worldometers.info/coronavirus/,2020-03-26
12,Belgium,4937,+668,178.0,56.0,547.0,4212,474.0,426.0,15.0,https://web.archive.org/web/20200326/https://www.worldometers.info/coronavirus/,2020-03-26
13,Canada,3409,+617,36.0,10.0,185.0,3188,1.0,90.0,1.0,https://web.archive.org/web/20200326/https://www.worldometers.info/coronavirus/,2020-03-26
14,Norway,3084,+218,14.0,2.0,6.0,3064,57.0,569.0,3.0,https://web.archive.org/web/20200326/https://www.worldometers.info/coronavirus/,2020-03-26
15,Portugal,2995,+633,43.0,10.0,22.0,2930,61.0,294.0,4.0,https://web.archive.org/web/20200326/https://www.worldometers.info/coronavirus/,2020-03-26
16,Australia,2676,+359,11.0,3.0,118.0,2547,11.0,105.0,0.4,https://web.archive.org/web/20200326/https://www.worldometers.info/coronavirus/,2020-03-26
17,Brazil,2554,+307,59.0,13.0,2.0,2493,18.0,12.0,0.3,https://web.archive.org/web/20200326/https://www.worldometers.info/coronavirus/,2020-03-26
18,Sweden,2526,+227,62.0,22.0,16.0,2448,158.0,250.0,6.0,https://web.archive.org/web/20200326/https://www.worldometers.info/coronavirus/,2020-03-26
19,Turkey,2433,+561,59.0,15.0,26.0,2348,136.0,29.0,0.7,https://web.archive.org/web/20200326/https://www.worldometers.info/coronavirus/,2020-03-26
