,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,ref,date
0,China,80928,+34,3245.0,8.0,70420.0,7263,2274.0,56.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
1,Italy,35713,"+4,207",2978.0,475.0,4025.0,28710,2257.0,591.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
2,Iran,17361,"+1,192",1135.0,147.0,5710.0,10516,,207.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
3,Spain,14769,"+2,943",638.0,105.0,1081.0,13050,800.0,316.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
4,Germany,12327,"+2,960",28.0,2.0,105.0,12194,2.0,147.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
5,USA,9259,"+2,848",150.0,41.0,106.0,9003,64.0,28.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
6,France,9134,"+1,404",264.0,89.0,602.0,8268,931.0,140.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
7,S. Korea,8413,+93,84.0,3.0,1540.0,6789,59.0,164.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
8,Switzerland,3115,+373,33.0,6.0,15.0,3067,,360.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
9,UK,2626,+676,104.0,33.0,65.0,2457,20.0,39.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
10,Netherlands,2051,+346,58.0,15.0,2.0,1991,45.0,120.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
11,Austria,1646,+314,4.0,,9.0,1633,12.0,183.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
12,Norway,1591,+120,6.0,3.0,1.0,1584,27.0,293.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
13,Belgium,1486,+243,14.0,4.0,31.0,1441,33.0,128.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
14,Sweden,1301,+105,10.0,2.0,15.0,1276,12.0,129.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
15,Denmark,1057,+80,4.0,,1.0,1052,24.0,182.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
16,Japan,914,+36,29.0,,191.0,694,41.0,7.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
17,Malaysia,790,+117,2.0,,60.0,728,15.0,24.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
18,Canada,727,+129,9.0,1.0,12.0,706,1.0,19.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
19,Diamond Princess,712,,7.0,,458.0,247,14.0,,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
20,Portugal,642,+194,2.0,1.0,4.0,636,18.0,63.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
21,Australia,596,+141,6.0,1.0,43.0,547,1.0,23.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
22,Brazil,529,+183,4.0,3.0,2.0,523,18.0,2.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
23,Czechia,522,+88,,,3.0,519,5.0,49.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
24,Qatar,452,+10,,,4.0,448,,157.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
25,Israel,433,+96,,,11.0,422,6.0,50.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
26,Greece,418,+31,5.0,,14.0,399,13.0,40.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
27,Ireland,366,+74,2.0,,5.0,359,6.0,74.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
28,Finland,359,+37,,,10.0,349,2.0,65.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
29,Singapore,313,+47,,,117.0,196,14.0,54.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
30,Pakistan,307,+60,2.0,2.0,13.0,292,,1.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
31,Poland,287,+49,5.0,,13.0,269,3.0,8.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
32,Slovenia,286,+11,1.0,,,285,6.0,138.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
33,Romania,260,+43,,,19.0,241,5.0,14.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
34,Estonia,258,+33,,,1.0,257,1.0,194.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
35,Bahrain,256,+15,1.0,,95.0,160,3.0,150.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
36,Iceland,250,+3,,,5.0,245,1.0,733.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
37,Saudi Arabia,238,+67,,,6.0,232,,7.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
38,Chile,238,+37,,,,238,3.0,12.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
39,Indonesia,227,+55,19.0,12.0,11.0,197,,0.8,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
40,Thailand,212,+35,1.0,,42.0,169,1.0,3.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
41,Egypt,210,+14,6.0,,28.0,176,,2.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
42,Luxembourg,203,+63,2.0,1.0,,201,1.0,324.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
43,Philippines,202,+15,17.0,3.0,7.0,178,1.0,2.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
44,Hong Kong,193,+25,4.0,,95.0,94,4.0,26.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
45,Turkey,191,+93,2.0,1.0,,189,,2.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
46,India,169,+26,3.0,,14.0,152,,0.1,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
47,Ecuador,168,+57,3.0,1.0,1.0,164,2.0,10.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
48,Iraq,164,+10,12.0,1.0,41.0,111,,4.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
49,Russia,147,+33,,,8.0,139,,1.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
50,Peru,145,+28,,,1.0,144,8.0,4.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
51,Kuwait,142,+12,,,15.0,127,4.0,33.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
52,San Marino,140,+21,14.0,3.0,4.0,122,11.0,4126.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
53,Lebanon,133,+9,4.0,,4.0,125,3.0,19.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
54,South Africa,116,+31,,,,116,,2.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
55,UAE,113,,,,26.0,87,2.0,11.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
56,Armenia,110,+32,,,1.0,109,2.0,37.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
57,Panama,109,+40,1.0,,,108,7.0,25.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
58,Slovakia,105,+8,,,,105,2.0,19.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
59,Taiwan,100,+23,1.0,,22.0,77,,4.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
60,Argentina,97,+18,2.0,,3.0,92,1.0,2.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
61,Mexico,93,+11,,,4.0,89,1.0,0.7,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
62,Colombia,93,+28,,,1.0,92,,2.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
63,Bulgaria,92,+11,2.0,,,90,,13.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
64,Croatia,89,+20,,,5.0,84,,22.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
65,Serbia,89,+17,,,1.0,88,4.0,10.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
66,Uruguay,79,+29,,,,79,,23.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
67,Vietnam,76,+10,,,16.0,60,,0.8,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
68,Algeria,75,+14,7.0,2.0,32.0,36,,2.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
69,Latvia,71,+11,,,1.0,70,,38.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
70,Costa Rica,69,+19,1.0,1.0,,68,2.0,14.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
71,Brunei,68,+12,,,,68,2.0,155.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
72,Albania,59,+4,2.0,1.0,,57,2.0,21.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
73,Hungary,58,+8,1.0,,2.0,55,4.0,6.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
74,Cyprus,58,+9,,,,58,1.0,48.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
75,Faeroe Islands,58,+11,,,1.0,57,,1187.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
76,Jordan,56,+8,,,1.0,55,,5.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
77,Morocco,54,+10,2.0,,1.0,51,1.0,1.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
78,Andorra,53,+14,,,1.0,52,,686.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
79,Belarus,51,+15,,,5.0,46,,5.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
80,Sri Lanka,51,+7,,,3.0,48,,2.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
81,Malta,48,+10,,,2.0,46,,109.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
82,Palestine,44,,,,,44,,9.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
83,North Macedonia,43,+12,,,1.0,42,1.0,21.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
84,Oman,39,+6,,,13.0,26,,8.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
85,Bosnia and Herzegovina,39,+5,,,2.0,37,,12.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
86,Georgia,38,+4,,,1.0,37,1.0,10.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
87,Cambodia,37,+4,,,1.0,36,,2.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
88,Moldova,36,+6,1.0,1.0,1.0,34,2.0,9.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
89,Senegal,36,+9,,,2.0,34,,2.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
90,Kazakhstan,36,+3,,,,36,,2.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
91,Venezuela,36,+3,,,,36,,1.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
92,Dominican Republic,34,+13,2.0,1.0,,32,,3.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
93,Azerbaijan,34,,1.0,,7.0,26,,3.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
94,Lithuania,34,+8,,,1.0,33,1.0,12.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
95,Guadeloupe,33,+15,,,,33,,82.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
96,Tunisia,29,+2,,,1.0,28,2.0,2.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
97,Liechtenstein,28,+9,,,,28,,734.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
98,Burkina Faso,27,+12,1.0,1.0,,26,,1.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
99,Martinique,23,+8,1.0,,,22,,61.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
100,Afghanistan,22,,,,1.0,21,,0.6,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
101,New Zealand,20,,,,,20,,4.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
102,Uzbekistan,18,+7,,,,18,,0.5,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
103,Macao,17,+4,,,10.0,7,,26.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
104,Ukraine,16,+2,2.0,,,14,,0.4,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
105,Jamaica,15,+2,1.0,1.0,2.0,12,,5.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
106,French Guiana,15,,,,,15,,50.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
107,Bangladesh,14,+4,1.0,1.0,3.0,10,,0.09,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
108,Réunion,14,+5,,,,14,,16.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
109,Cameroon,13,+3,,,,13,,0.5,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
110,Maldives,13,,,,,13,,24.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
111,Bolivia,12,,,,,12,,1.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
112,Paraguay,11,+2,,,,11,1.0,2.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
113,Rwanda,11,+4,,,,11,,0.8,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
114,Cuba,10,+3,1.0,1.0,,9,,0.9,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
115,Monaco,9,,,,,9,,229.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
116,Ivory Coast,9,+5,,,1.0,8,,0.3,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
117,Honduras,9,+1,,,,9,,0.9,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
118,Guatemala,8,,1.0,,,7,,0.4,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
119,Nigeria,8,+5,,,1.0,7,,0.04,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
120,Gibraltar,8,+5,,,2.0,6,,237.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
121,Guam,8,+3,,,,8,,47.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
122,Montenegro,8,+6,,,,8,,13.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
123,Channel Islands,7,+1,,,,7,,40.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
124,DRC,7,+4,,,,7,,0.08,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
125,Ghana,7,,,,,7,,0.2,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
126,Kenya,7,+3,,,,7,,0.1,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
127,Trinidad and Tobago,7,+2,,,,7,,5.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
128,Ethiopia,6,,,,,6,,0.05,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
129,Mongolia,6,+1,,,,6,,2.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
130,Puerto Rico,6,+1,,,,6,,2.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
131,Seychelles,6,+2,,,,6,,61.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
132,French Polynesia,5,+2,,,,5,,18.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
133,Guyana,4,,1.0,,,3,,5.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
134,Aruba,4,+1,,,,4,,37.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
135,Equatorial Guinea,4,+3,,,,4,,3.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
136,Curaçao,3,,,,,3,,18.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
137,Gabon,3,,,,,3,,1.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
138,Kyrgyzstan,3,+3,,,,3,,0.5,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
139,Mauritius,3,+3,,,,3,,2.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
140,Mayotte,3,,,,,3,,11.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
141,St. Barth,3,,,,,3,,304.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
142,Saint Martin,3,+1,,,,3,,78.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
143,Tanzania,3,+2,,,,3,,0.05,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
144,Sudan,2,+1,1.0,,,1,,0.05,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
145,Barbados,2,,,,,2,,7.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
146,Benin,2,+1,,,,2,,0.2,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
147,Bermuda,2,+2,,,,2,,32.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
148,Greenland,2,+1,,,,2,,35.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
149,Liberia,2,,,,,2,,0.4,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
150,Mauritania,2,+1,,,,2,,0.4,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
151,Namibia,2,,,,,2,,0.8,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
152,New Caledonia,2,+2,,,,2,,7.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
153,Saint Lucia,2,,,,,2,,11.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
154,U.S. Virgin Islands,2,,,,,2,,19.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
155,Zambia,2,+2,,,,2,,0.1,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
156,Cayman Islands,1,,1.0,,,0,,15.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
157,Nepal,1,,,,1.0,0,,0.03,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
158,Antigua and Barbuda,1,,,,,1,,10.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
159,Bahamas,1,,,,,1,,3.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
160,Bhutan,1,,,,,1,,1.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
161,CAR,1,,,,,1,,0.2,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
162,Congo,1,,,,,1,,0.2,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
163,Djibouti,1,+1,,,,1,,1.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
164,Gambia,1,,,,,1,,0.4,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
165,Guinea,1,,,,,1,,0.08,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
166,Vatican City,1,,,,,1,,1248.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
167,Montserrat,1,+1,,,,1,,200.0,https://web.archive.org/web/20200319/https://www.worldometers.info/coronavirus/,2020-03-19
