,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,ref,date
0,China,80881,,3226.0,,68724.0,8931,3226.0,56.2,https://web.archive.org/web/20200317/https://www.worldometers.info/coronavirus/,2020-03-17
1,Italy,31506,"+3,526",2503.0,+345,2941.0,26062,2060.0,521.1,https://web.archive.org/web/20200317/https://www.worldometers.info/coronavirus/,2020-03-17
2,Iran,16169,"+1,178",988.0,+135,5389.0,9792,,192.5,https://web.archive.org/web/20200317/https://www.worldometers.info/coronavirus/,2020-03-17
3,Spain,11826,"+1,884",533.0,+191,1028.0,10265,563.0,252.9,https://web.archive.org/web/20200317/https://www.worldometers.info/coronavirus/,2020-03-17
4,Germany,9367,"+2,095",26.0,+9,67.0,9274,2.0,111.8,https://web.archive.org/web/20200317/https://www.worldometers.info/coronavirus/,2020-03-17
5,S. Korea,8320,+84,81.0,+6,1401.0,6838,59.0,162.3,https://web.archive.org/web/20200317/https://www.worldometers.info/coronavirus/,2020-03-17
6,France,7730,"+1,097",175.0,+27,602.0,6953,699.0,118.4,https://web.archive.org/web/20200317/https://www.worldometers.info/coronavirus/,2020-03-17
7,USA,6439,"+1,776",109.0,+23,106.0,6224,12.0,19.5,https://web.archive.org/web/20200317/https://www.worldometers.info/coronavirus/,2020-03-17
8,Switzerland,2742,+389,27.0,+8,15.0,2700,,316.8,https://web.archive.org/web/20200317/https://www.worldometers.info/coronavirus/,2020-03-17
9,UK,1950,+407,71.0,+16,65.0,1814,20.0,28.7,https://web.archive.org/web/20200317/https://www.worldometers.info/coronavirus/,2020-03-17
10,Netherlands,1705,+292,43.0,+19,2.0,1660,45.0,99.5,https://web.archive.org/web/20200317/https://www.worldometers.info/coronavirus/,2020-03-17
11,Norway,1470,+122,3.0,,1.0,1466,27.0,271.2,https://web.archive.org/web/20200317/https://www.worldometers.info/coronavirus/,2020-03-17
12,Austria,1332,+314,4.0,+1,8.0,1320,12.0,147.9,https://web.archive.org/web/20200317/https://www.worldometers.info/coronavirus/,2020-03-17
13,Belgium,1243,+185,10.0,,14.0,1219,33.0,107.3,https://web.archive.org/web/20200317/https://www.worldometers.info/coronavirus/,2020-03-17
14,Sweden,1196,+75,8.0,+1,1.0,1187,12.0,118.4,https://web.archive.org/web/20200317/https://www.worldometers.info/coronavirus/,2020-03-17
15,Denmark,977,+63,4.0,,1.0,972,18.0,168.7,https://web.archive.org/web/20200317/https://www.worldometers.info/coronavirus/,2020-03-17
16,Japan,878,+45,29.0,+1,144.0,705,41.0,6.9,https://web.archive.org/web/20200317/https://www.worldometers.info/coronavirus/,2020-03-17
17,Diamond Princess,696,,7.0,,456.0,233,15.0,,https://web.archive.org/web/20200317/https://www.worldometers.info/coronavirus/,2020-03-17
18,Malaysia,673,+107,2.0,+2,49.0,622,10.0,20.8,https://web.archive.org/web/20200317/https://www.worldometers.info/coronavirus/,2020-03-17
19,Canada,598,+157,8.0,+4,12.0,578,1.0,15.8,https://web.archive.org/web/20200317/https://www.worldometers.info/coronavirus/,2020-03-17
20,Australia,452,+51,5.0,,27.0,420,1.0,17.7,https://web.archive.org/web/20200317/https://www.worldometers.info/coronavirus/,2020-03-17
21,Portugal,448,+117,1.0,,3.0,444,18.0,43.9,https://web.archive.org/web/20200317/https://www.worldometers.info/coronavirus/,2020-03-17
22,Qatar,442,+3,,,4.0,438,,153.4,https://web.archive.org/web/20200317/https://www.worldometers.info/coronavirus/,2020-03-17
23,Czechia,434,+90,,,3.0,431,2.0,40.5,https://web.archive.org/web/20200317/https://www.worldometers.info/coronavirus/,2020-03-17
24,Greece,387,+35,5.0,+1,14.0,368,11.0,37.1,https://web.archive.org/web/20200317/https://www.worldometers.info/coronavirus/,2020-03-17
25,Brazil,346,+112,1.0,+1,2.0,343,18.0,1.6,https://web.archive.org/web/20200317/https://www.worldometers.info/coronavirus/,2020-03-17
26,Israel,337,+39,,,11.0,326,5.0,38.9,https://web.archive.org/web/20200317/https://www.worldometers.info/coronavirus/,2020-03-17
27,Finland,322,+44,,,10.0,312,2.0,58.1,https://web.archive.org/web/20200317/https://www.worldometers.info/coronavirus/,2020-03-17
28,Ireland,292,+69,2.0,,5.0,285,6.0,59.1,https://web.archive.org/web/20200317/https://www.worldometers.info/coronavirus/,2020-03-17
29,Slovenia,275,+22,1.0,,,274,4.0,132.3,https://web.archive.org/web/20200317/https://www.worldometers.info/coronavirus/,2020-03-17
30,Singapore,266,+23,,,114.0,152,14.0,45.5,https://web.archive.org/web/20200317/https://www.worldometers.info/coronavirus/,2020-03-17
31,Iceland,247,+48,,,5.0,242,1.0,,https://web.archive.org/web/20200317/https://www.worldometers.info/coronavirus/,2020-03-17
32,Pakistan,247,+63,,+-1,2.0,245,,1.1,https://web.archive.org/web/20200317/https://www.worldometers.info/coronavirus/,2020-03-17
33,Bahrain,241,+13,1.0,,88.0,152,3.0,141.6,https://web.archive.org/web/20200317/https://www.worldometers.info/coronavirus/,2020-03-17
34,Poland,238,+61,5.0,+1,1.0,232,3.0,6.3,https://web.archive.org/web/20200317/https://www.worldometers.info/coronavirus/,2020-03-17
35,Estonia,225,+20,,,1.0,224,,169.6,https://web.archive.org/web/20200317/https://www.worldometers.info/coronavirus/,2020-03-17
36,Romania,217,+49,,,19.0,198,5.0,11.3,https://web.archive.org/web/20200317/https://www.worldometers.info/coronavirus/,2020-03-17
37,Chile,201,+45,,,,201,3.0,10.5,https://web.archive.org/web/20200317/https://www.worldometers.info/coronavirus/,2020-03-17
38,Egypt,196,+30,6.0,+2,26.0,164,,1.9,https://web.archive.org/web/20200317/https://www.worldometers.info/coronavirus/,2020-03-17
39,Philippines,187,+45,12.0,,5.0,170,1.0,1.7,https://web.archive.org/web/20200317/https://www.worldometers.info/coronavirus/,2020-03-17
40,Thailand,177,+30,1.0,,41.0,135,1.0,2.5,https://web.archive.org/web/20200317/https://www.worldometers.info/coronavirus/,2020-03-17
41,Indonesia,172,+38,7.0,+2,9.0,156,,0.6,https://web.archive.org/web/20200317/https://www.worldometers.info/coronavirus/,2020-03-17
42,Saudi Arabia,171,+38,,,6.0,165,,4.9,https://web.archive.org/web/20200317/https://www.worldometers.info/coronavirus/,2020-03-17
43,Hong Kong,168,+13,4.0,,81.0,83,4.0,22.4,https://web.archive.org/web/20200317/https://www.worldometers.info/coronavirus/,2020-03-17
44,Iraq,154,+21,11.0,+1,41.0,102,,3.8,https://web.archive.org/web/20200317/https://www.worldometers.info/coronavirus/,2020-03-17
45,India,143,+14,3.0,+1,14.0,126,,0.1,https://web.archive.org/web/20200317/https://www.worldometers.info/coronavirus/,2020-03-17
46,Luxembourg,140,+59,1.0,,,139,1.0,,https://web.archive.org/web/20200317/https://www.worldometers.info/coronavirus/,2020-03-17
47,Kuwait,130,+7,,,12.0,118,4.0,30.4,https://web.archive.org/web/20200317/https://www.worldometers.info/coronavirus/,2020-03-17
48,Lebanon,124,+15,4.0,+1,4.0,116,3.0,18.2,https://web.archive.org/web/20200317/https://www.worldometers.info/coronavirus/,2020-03-17
49,San Marino,119,+10,11.0,+2,4.0,104,11.0,,https://web.archive.org/web/20200317/https://www.worldometers.info/coronavirus/,2020-03-17
50,Peru,117,+31,,,1.0,116,8.0,3.5,https://web.archive.org/web/20200317/https://www.worldometers.info/coronavirus/,2020-03-17
51,Russia,114,+21,,,8.0,106,,0.8,https://web.archive.org/web/20200317/https://www.worldometers.info/coronavirus/,2020-03-17
