,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,ref,date
108,Georgia,155,+21,,,28.0,127,6.0,39.0,,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
109,Venezuela,153,+7,7.0,+2,52.0,94,6.0,5.0,0.2,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
110,DRC,148,+14,16.0,+3,3.0,129,,2.0,0.2,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
111,Martinique,143,+5,3.0,,27.0,113,18.0,381.0,8.0,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
112,Brunei,134,+1,1.0,,65.0,68,3.0,306.0,2.0,7566.0,17295.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
113,Bolivia,132,+9,9.0,+1,1.0,122,3.0,11.0,0.8,191.0,16.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
114,Guadeloupe,130,+2,7.0,+1,24.0,99,14.0,325.0,17.0,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
115,Kyrgyzstan,130,+14,1.0,+1,6.0,123,5.0,20.0,0.2,9618.0,1474.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
116,Mayotte,128,+12,2.0,+1,10.0,116,3.0,469.0,7.0,479.0,1756.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
117,Kenya,122,+12,4.0,+1,4.0,114,2.0,2.0,0.07,2201.0,41.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
118,Niger,120,+22,5.0,,,115,,5.0,0.2,3729.0,154.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
119,Isle of Man,114,+19,1.0,,,113,,1341.0,12.0,1230.0,14465.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
120,Cambodia,114,+4,,,35.0,79,1.0,7.0,,5768.0,345.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
121,Trinidad and Tobago,98,+4,6.0,+1,1.0,91,,70.0,4.0,705.0,504.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
122,Gibraltar,95,+7,,,46.0,49,,2820.0,,1136.0,33718.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
123,Paraguay,92,+15,3.0,,6.0,83,2.0,13.0,0.4,116.0,16.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
124,Rwanda,89,+5,,,,89,,7.0,,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
125,Liechtenstein,75,,,,,75,,1967.0,,900.0,23605.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
126,Guinea,73,+21,,,2.0,71,,6.0,,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
127,Madagascar,70,+11,,,,70,6.0,3.0,,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
128,Monaco,64,+4,1.0,,3.0,60,2.0,1631.0,25.0,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
129,Aruba,62,+2,,,1.0,61,,581.0,,836.0,7830.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
130,Bangladesh,61,+5,6.0,,26.0,29,1.0,0.4,0.04,2086.0,13.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
131,French Guiana,57,+6,,,22.0,35,1.0,191.0,,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
132,Jamaica,53,+6,3.0,,7.0,43,,18.0,1.0,292.0,99.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
133,Barbados,51,+5,,,,51,,177.0,,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
134,Guatemala,50,+3,1.0,,12.0,37,1.0,3.0,0.06,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
135,Djibouti,49,+9,,,8.0,41,,50.0,,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
136,Uganda,48,+3,,,,48,,1.0,,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
137,El Salvador,46,+5,3.0,+1,,43,4.0,7.0,0.5,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
138,Macao,42,+1,,,10.0,32,,65.0,,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
139,Togo,40,+1,3.0,+1,17.0,20,,5.0,0.4,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
140,Mali,39,+3,3.0,,,36,,2.0,0.1,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
141,Zambia,39,,1.0,,2.0,36,,2.0,0.05,619.0,34.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
142,French Polynesia,39,+2,,,,39,1.0,139.0,,554.0,1972.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
143,Bermuda,35,,,,14.0,21,,562.0,,272.0,4368.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
144,Ethiopia,35,+6,,,3.0,32,2.0,0.3,,1222.0,11.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
145,Cayman Islands,29,+1,1.0,,1.0,27,,441.0,15.0,265.0,4032.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
146,Bahamas,24,,3.0,+2,,21,1.0,61.0,8.0,,,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
147,Guyana,23,+4,4.0,,,19,,29.0,5.0,83.0,106.0,https://web.archive.org/web/20200404/https://www.worldometers.info/coronavirus/,2020-04-04
