,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,ref,date
0,China,80967,+39,3248.0,3.0,71150.0,6569,2136.0,56.0,https://web.archive.org/web/20200320/https://www.worldometers.info/coronavirus/,2020-03-20
1,Italy,41035,"+5,322",3405.0,427.0,4440.0,33190,2498.0,679.0,https://web.archive.org/web/20200320/https://www.worldometers.info/coronavirus/,2020-03-20
2,Iran,18407,"+1,046",1284.0,149.0,5979.0,11144,,219.0,https://web.archive.org/web/20200320/https://www.worldometers.info/coronavirus/,2020-03-20
3,Spain,18077,"+3,308",831.0,193.0,1107.0,16139,939.0,387.0,https://web.archive.org/web/20200320/https://www.worldometers.info/coronavirus/,2020-03-20
4,Germany,15320,"+2,993",44.0,16.0,115.0,15161,2.0,183.0,https://web.archive.org/web/20200320/https://www.worldometers.info/coronavirus/,2020-03-20
5,USA,13789,"+4,530",207.0,57.0,108.0,13474,64.0,42.0,https://web.archive.org/web/20200320/https://www.worldometers.info/coronavirus/,2020-03-20
6,France,10995,"+1,861",372.0,108.0,1295.0,9328,1122.0,168.0,https://web.archive.org/web/20200320/https://www.worldometers.info/coronavirus/,2020-03-20
7,S. Korea,8565,+152,91.0,7.0,1947.0,6527,59.0,167.0,https://web.archive.org/web/20200320/https://www.worldometers.info/coronavirus/,2020-03-20
8,Switzerland,4222,"+1,107",43.0,10.0,15.0,4164,,488.0,https://web.archive.org/web/20200320/https://www.worldometers.info/coronavirus/,2020-03-20
9,UK,3269,+643,144.0,40.0,65.0,3060,20.0,48.0,https://web.archive.org/web/20200320/https://www.worldometers.info/coronavirus/,2020-03-20
10,Netherlands,2460,+409,76.0,18.0,2.0,2382,45.0,144.0,https://web.archive.org/web/20200320/https://www.worldometers.info/coronavirus/,2020-03-20
11,Austria,2179,+533,6.0,2.0,9.0,2164,13.0,242.0,https://web.archive.org/web/20200320/https://www.worldometers.info/coronavirus/,2020-03-20
12,Belgium,1795,+309,21.0,7.0,165.0,1609,130.0,155.0,https://web.archive.org/web/20200320/https://www.worldometers.info/coronavirus/,2020-03-20
13,Norway,1790,+199,7.0,1.0,1.0,1782,27.0,330.0,https://web.archive.org/web/20200320/https://www.worldometers.info/coronavirus/,2020-03-20
14,Sweden,1439,+138,11.0,1.0,16.0,1412,21.0,142.0,https://web.archive.org/web/20200320/https://www.worldometers.info/coronavirus/,2020-03-20
15,Denmark,1151,+94,6.0,2.0,1.0,1144,30.0,199.0,https://web.archive.org/web/20200320/https://www.worldometers.info/coronavirus/,2020-03-20
16,Japan,943,+29,33.0,4.0,191.0,719,46.0,7.0,https://web.archive.org/web/20200320/https://www.worldometers.info/coronavirus/,2020-03-20
17,Malaysia,900,+110,2.0,,75.0,823,15.0,28.0,https://web.archive.org/web/20200320/https://www.worldometers.info/coronavirus/,2020-03-20
18,Canada,873,+146,12.0,3.0,11.0,850,1.0,23.0,https://web.archive.org/web/20200320/https://www.worldometers.info/coronavirus/,2020-03-20
19,Portugal,786,+144,4.0,2.0,4.0,778,20.0,77.0,https://web.archive.org/web/20200320/https://www.worldometers.info/coronavirus/,2020-03-20
20,Australia,756,+160,7.0,1.0,46.0,703,1.0,30.0,https://web.archive.org/web/20200320/https://www.worldometers.info/coronavirus/,2020-03-20
21,Diamond Princess,712,,7.0,,527.0,178,14.0,,https://web.archive.org/web/20200320/https://www.worldometers.info/coronavirus/,2020-03-20
22,Czechia,694,+172,,,3.0,691,6.0,65.0,https://web.archive.org/web/20200320/https://www.worldometers.info/coronavirus/,2020-03-20
23,Israel,677,+244,,,14.0,663,6.0,78.0,https://web.archive.org/web/20200320/https://www.worldometers.info/coronavirus/,2020-03-20
24,Brazil,640,+111,7.0,3.0,2.0,631,18.0,3.0,https://web.archive.org/web/20200320/https://www.worldometers.info/coronavirus/,2020-03-20
25,Ireland,557,+191,3.0,1.0,5.0,549,6.0,113.0,https://web.archive.org/web/20200320/https://www.worldometers.info/coronavirus/,2020-03-20
26,Greece,464,+46,6.0,1.0,19.0,439,16.0,45.0,https://web.archive.org/web/20200320/https://www.worldometers.info/coronavirus/,2020-03-20
27,Qatar,460,+8,,,10.0,450,6.0,160.0,https://web.archive.org/web/20200320/https://www.worldometers.info/coronavirus/,2020-03-20
28,Pakistan,454,+147,2.0,,13.0,439,,2.0,https://web.archive.org/web/20200320/https://www.worldometers.info/coronavirus/,2020-03-20
29,Finland,400,+41,,,10.0,390,2.0,72.0,https://web.archive.org/web/20200320/https://www.worldometers.info/coronavirus/,2020-03-20
30,Turkey,359,+168,4.0,2.0,,355,,4.0,https://web.archive.org/web/20200320/https://www.worldometers.info/coronavirus/,2020-03-20
31,Poland,355,+68,5.0,,13.0,337,3.0,9.0,https://web.archive.org/web/20200320/https://www.worldometers.info/coronavirus/,2020-03-20
32,Singapore,345,+32,,,124.0,221,14.0,59.0,https://web.archive.org/web/20200320/https://www.worldometers.info/coronavirus/,2020-03-20
33,Chile,342,+104,,,,342,6.0,18.0,https://web.archive.org/web/20200320/https://www.worldometers.info/coronavirus/,2020-03-20
34,Luxembourg,335,+132,4.0,2.0,6.0,325,1.0,535.0,https://web.archive.org/web/20200320/https://www.worldometers.info/coronavirus/,2020-03-20
35,Iceland,330,+80,,,5.0,325,1.0,967.0,https://web.archive.org/web/20200320/https://www.worldometers.info/coronavirus/,2020-03-20
36,Slovenia,319,+33,1.0,,,318,6.0,153.0,https://web.archive.org/web/20200320/https://www.worldometers.info/coronavirus/,2020-03-20
37,Indonesia,309,+82,25.0,6.0,15.0,269,,1.0,https://web.archive.org/web/20200320/https://www.worldometers.info/coronavirus/,2020-03-20
38,Bahrain,279,+23,1.0,,110.0,168,4.0,164.0,https://web.archive.org/web/20200320/https://www.worldometers.info/coronavirus/,2020-03-20
39,Romania,277,+17,,,25.0,252,5.0,14.0,https://web.archive.org/web/20200320/https://www.worldometers.info/coronavirus/,2020-03-20
40,Saudi Arabia,274,+36,,,8.0,266,,8.0,https://web.archive.org/web/20200320/https://www.worldometers.info/coronavirus/,2020-03-20
41,Thailand,272,+60,1.0,,42.0,229,1.0,4.0,https://web.archive.org/web/20200320/https://www.worldometers.info/coronavirus/,2020-03-20
42,Estonia,267,+9,,,1.0,266,1.0,201.0,https://web.archive.org/web/20200320/https://www.worldometers.info/coronavirus/,2020-03-20
43,Ecuador,260,+92,3.0,,1.0,256,2.0,15.0,https://web.archive.org/web/20200320/https://www.worldometers.info/coronavirus/,2020-03-20
44,Egypt,256,+46,7.0,1.0,42.0,207,,3.0,https://web.archive.org/web/20200320/https://www.worldometers.info/coronavirus/,2020-03-20
45,Peru,234,+89,1.0,1.0,1.0,232,7.0,7.0,https://web.archive.org/web/20200320/https://www.worldometers.info/coronavirus/,2020-03-20
46,Philippines,217,+15,17.0,,8.0,192,1.0,2.0,https://web.archive.org/web/20200320/https://www.worldometers.info/coronavirus/,2020-03-20
