,"Country, Other",Total Cases,New Cases,Total Deaths,NewDeaths,Total Recovered,"Serious, Critical",Region,ref,date
0,China,78825,330.0,2788.0,43.0,36128.0,8346.0,Asia,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27
1,S. Korea,1766,505.0,13.0,1.0,24.0,18.0,Asia,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27
2,Diamond Princess,705,,4.0,,10.0,36.0,,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27
3,Italy,655,185.0,17.0,5.0,45.0,35.0,Europe,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27
4,Iran,245,106.0,26.0,7.0,54.0,,Asia,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27
5,Japan,207,35.0,4.0,1.0,32.0,13.0,Asia,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27
6,Singapore,96,3.0,,,66.0,8.0,Asia,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27
7,Hong Kong,92,3.0,2.0,,18.0,6.0,Asia,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27
8,USA,60,,,,6.0,,N.America,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27
9,Germany,48,21.0,,,16.0,2.0,Europe,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27
10,Kuwait,43,17.0,,,,,Asia,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27
11,Thailand,40,,,,22.0,2.0,Asia,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27
12,France,38,20.0,2.0,,11.0,1.0,Europe,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27
13,Bahrain,33,,,,,,Asia,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27
14,Taiwan,32,,1.0,,5.0,1.0,Asia,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27
15,Spain,25,12.0,,,2.0,2.0,Europe,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27
16,Australia,23,,,,15.0,,Oceania,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27
17,Malaysia,22,,,,20.0,,Asia,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27
18,U.A.E.,19,6.0,,,5.0,2.0,Asia,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27
19,U.K.,16,3.0,,,8.0,,Europe,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27
20,Vietnam,16,,,,16.0,,Asia,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27
21,Canada,13,1.0,,,3.0,,N.America,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27
22,Macao,10,,,,6.0,,Asia,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27
23,Switzerland,8,7.0,,,,,Europe,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27
24,Iraq,7,2.0,,,,,Asia,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27
25,Sweden,7,5.0,,,,,Europe,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27
26,Oman,6,2.0,,,,,Asia,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27
27,Austria,5,3.0,,,,,Europe,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27
28,Norway,4,3.0,,,,,Europe,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27
29,Philippines,3,,1.0,,2.0,,Asia,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27
30,Croatia,3,,,,,,Europe,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27
31,Greece,3,2.0,,,,,Europe,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27
32,India,3,,,,3.0,,Asia,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27
33,Israel,3,1.0,,,,,Asia,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27
34,Lebanon,3,1.0,,,,,Asia,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27
35,Finland,2,,,,1.0,,Europe,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27
36,Pakistan,2,,,,,,Asia,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27
37,Russia,2,,,,2.0,,Europe,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27
38,Afghanistan,1,,,,,,Asia,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27
39,Algeria,1,,,,,,Africa,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27
40,Belgium,1,,,,1.0,,Europe,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27
41,Brazil,1,,,,,,South America,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27
42,Cambodia,1,,,,1.0,,Asia,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27
43,Denmark,1,1.0,,,,,Europe,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27
44,Egypt,1,,,,1.0,,Africa,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27
45,Estonia,1,1.0,,,,,Europe,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27
46,Georgia,1,,,,,,Asia,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27
47,North Macedonia,1,,,,,,Europe,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27
48,Nepal,1,,,,1.0,,Asia,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27
49,Netherlands,1,1.0,,,,,Europe,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27
50,Romania,1,,,,,,Europe,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27
51,San Marino,1,1.0,,,,,Europe,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27
52,Sri Lanka,1,,,,1.0,,Asia,https://web.archive.org/web/20200227/https://www.worldometers.info/coronavirus/,2020-02-27
