name,coronaOccupancy,normalOccupancy,isolatedTeam,lastUpdate,date
שניידר,10.0,97.89029693603516,37,2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
זיו צפת,6.0,79.82708740234375,7,2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
מ.גריאטרי פרדס חנה,0.0,,0,2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
יוספטל,0.0,41.53845977783203,5,2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
"מר""ג דורות נתניה",0.0,,0,2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
סנט ג'וזף,0.0,,0,2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
הסקוטי,0.0,86.4661636352539,34,2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
נאות התיכון,0.0,,0,2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
עמל בשרון - רעננה,0.0,,0,2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
הכרמל,0.0,63.39468383789063,28,2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
הר הצופים,0.0,85.06944274902344,25,2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
הסהר האדום,0.0,,0,2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
המשפחה הקדושה,0.0,154.1666717529297,9,2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
אל מקאסד,0.0,,0,2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
הצרפתי,0.0,58.95522308349609,47,2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
אלישע,0.0,,5,2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
אסותא באר שבע,0.0,,1,2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
אסותא חיפה,0.0,,1,2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
אסותא רמת החייל,0.0,,5,2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
אסותא ראשון לציון,0.0,,1,2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
