city,sickCount,actualSick,verifiedLast7Days,testLast7Days,status,lastUpdate,date
ביתר עילית,950,626,356,7369,"נדרשים הסברה, בדיקות ואכיפת בידוד",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
עמנואל,30,15, קטן מ-15 ,305,"נדרשים הסברה, בדיקות ואכיפת בידוד",2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
ירושלים,7102,2978,1189,139649,נדרשת הגדלה של מספר הבדיקות,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
תל אביב - יפו,2579,1723,574,74165,נדרשת הגדלה של מספר הבדיקות,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
בני ברק,4716,1552,594,49576,נדרשת הגדלה של מספר הבדיקות,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
אשדוד,1418,1013,283,34916,נדרשת הגדלה של מספר הבדיקות,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
בית שמש,1003,434,186,13688,נדרשת הגדלה של מספר הבדיקות,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
לוד,518,397,218,10302,נדרשת הגדלה של מספר הבדיקות,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
קרית מלאכי,308,246,135,4232,נדרשת הגדלה של מספר הבדיקות,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
כסיפה,117,103,63,1560,נדרשת הגדלה של מספר הבדיקות,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
גן יבנה,103,72,46,2630,נדרשת הגדלה של מספר הבדיקות,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
גבעת זאב,116,57,34,2915,נדרשת הגדלה של מספר הבדיקות,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
קלנסווה,68,54,40,2197,נדרשת הגדלה של מספר הבדיקות,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
יבנאל,72,54,29,582,נדרשת הגדלה של מספר הבדיקות,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
קרית שמונה,64,48,37,2087,נדרשת הגדלה של מספר הבדיקות,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
כוכב יעקב,89,29, קטן מ-15 ,948,נדרשת הגדלה של מספר הבדיקות,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
"כפר חב""ד",72,28,22,1336,נדרשת הגדלה של מספר הבדיקות,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
