name,amount,lastUpdate,date
hard,177,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
moderate,123,2020-07-14T07:14:06.710Z,2020-07-14T07:14:06.710Z
name,amount,lastUpdate,date
hard,329,2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
moderate,166,2020-07-26T07:34:22.503Z,2020-07-26T07:34:22.503Z
name,amount,lastUpdate,date
hard,321,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
moderate,159,2020-07-30T03:34:45.407Z,2020-07-30T03:34:45.407Z
