date,amount,amountVirusDiagnosis,positiveAmount,lastUpdate
2020-05-08T00:00:00.000Z,8157,7187,33,2020-07-26T07:34:22.503Z
2020-05-09T00:00:00.000Z,3868,3508,19,2020-07-26T07:34:22.503Z
2020-05-10T00:00:00.000Z,4944,4410,29,2020-07-26T07:34:22.503Z
2020-05-11T00:00:00.000Z,9217,7827,39,2020-07-26T07:34:22.503Z
2020-05-12T00:00:00.000Z,7536,6679,23,2020-07-26T07:34:22.503Z
2020-05-13T00:00:00.000Z,8271,7524,37,2020-07-26T07:34:22.503Z
2020-05-14T00:00:00.000Z,8416,7679,22,2020-07-26T07:34:22.503Z
2020-05-15T00:00:00.000Z,5695,5072,12,2020-07-26T07:34:22.503Z
2020-05-16T00:00:00.000Z,1502,1343,5,2020-07-26T07:34:22.503Z
2020-05-17T00:00:00.000Z,4633,4219,15,2020-07-26T07:34:22.503Z
2020-05-18T00:00:00.000Z,7692,6797,27,2020-07-26T07:34:22.503Z
2020-05-19T00:00:00.000Z,7141,6501,22,2020-07-26T07:34:22.503Z
2020-05-20T00:00:00.000Z,5968,5620,15,2020-07-26T07:34:22.503Z
2020-05-21T00:00:00.000Z,6164,5601,17,2020-07-26T07:34:22.503Z
2020-05-22T00:00:00.000Z,4996,4617,20,2020-07-26T07:34:22.503Z
2020-05-23T00:00:00.000Z,718,670,5,2020-07-26T07:34:22.503Z
2020-05-24T00:00:00.000Z,3807,3439,13,2020-07-26T07:34:22.503Z
2020-05-25T00:00:00.000Z,5334,4850,22,2020-07-26T07:34:22.503Z
2020-05-26T00:00:00.000Z,6818,6512,50,2020-07-26T07:34:22.503Z
2020-05-27T00:00:00.000Z,6728,6442,40,2020-07-26T07:34:22.503Z
2020-05-28T00:00:00.000Z,5352,5030,77,2020-07-26T07:34:22.503Z
2020-05-29T00:00:00.000Z,1863,1803,113,2020-07-26T07:34:22.503Z
2020-05-30T00:00:00.000Z,1058,1040,28,2020-07-26T07:34:22.503Z
2020-05-31T00:00:00.000Z,5640,5500,88,2020-07-26T07:34:22.503Z
2020-06-01T00:00:00.000Z,8155,7908,100,2020-07-26T07:34:22.503Z
2020-06-02T00:00:00.000Z,11758,11578,121,2020-07-26T07:34:22.503Z
2020-06-03T00:00:00.000Z,13210,13043,96,2020-07-26T07:34:22.503Z
2020-06-04T00:00:00.000Z,14897,14726,141,2020-07-26T07:34:22.503Z
2020-06-05T00:00:00.000Z,16472,16349,124,2020-07-26T07:34:22.503Z
2020-06-06T00:00:00.000Z,11537,11442,78,2020-07-26T07:34:22.503Z
2020-06-07T00:00:00.000Z,15097,14890,140,2020-07-26T07:34:22.503Z
2020-06-08T00:00:00.000Z,14644,14488,179,2020-07-26T07:34:22.503Z
2020-06-09T00:00:00.000Z,15058,14861,172,2020-07-26T07:34:22.503Z
2020-06-10T00:00:00.000Z,18468,18151,238,2020-07-26T07:34:22.503Z
2020-06-11T00:00:00.000Z,15808,15564,191,2020-07-26T07:34:22.503Z
2020-06-12T00:00:00.000Z,13131,12878,183,2020-07-26T07:34:22.503Z
2020-06-13T00:00:00.000Z,6983,6843,149,2020-07-26T07:34:22.503Z
2020-06-14T00:00:00.000Z,8838,8633,136,2020-07-26T07:34:22.503Z
2020-06-15T00:00:00.000Z,14373,14046,198,2020-07-26T07:34:22.503Z
2020-06-16T00:00:00.000Z,16234,15919,297,2020-07-26T07:34:22.503Z
2020-06-17T00:00:00.000Z,16018,15634,269,2020-07-26T07:34:22.503Z
2020-06-18T00:00:00.000Z,17370,16918,303,2020-07-26T07:34:22.503Z
2020-06-19T00:00:00.000Z,12785,12447,307,2020-07-26T07:34:22.503Z
2020-06-20T00:00:00.000Z,6008,5776,157,2020-07-26T07:34:22.503Z
2020-06-21T00:00:00.000Z,9150,8907,171,2020-07-26T07:34:22.503Z
2020-06-22T00:00:00.000Z,14006,13459,342,2020-07-26T07:34:22.503Z
2020-06-23T00:00:00.000Z,19844,19160,447,2020-07-26T07:34:22.503Z
2020-06-24T00:00:00.000Z,18391,17868,485,2020-07-26T07:34:22.503Z
2020-06-25T00:00:00.000Z,18663,17977,512,2020-07-26T07:34:22.503Z
2020-06-26T00:00:00.000Z,16526,16116,462,2020-07-26T07:34:22.503Z
2020-06-27T00:00:00.000Z,10488,10051,398,2020-07-26T07:34:22.503Z
2020-06-28T00:00:00.000Z,10389,9890,380,2020-07-26T07:34:22.503Z
2020-06-29T00:00:00.000Z,21015,20257,749,2020-07-26T07:34:22.503Z
2020-06-30T00:00:00.000Z,20836,20145,780,2020-07-26T07:34:22.503Z
2020-07-01T00:00:00.000Z,21459,20829,964,2020-07-26T07:34:22.503Z
