date,amount,recovered,lastUpdate
2020-05-05T00:00:00.000Z,32,362,2020-07-30T03:34:45.407Z
2020-05-06T00:00:00.000Z,65,222,2020-07-30T03:34:45.407Z
2020-05-07T00:00:00.000Z,61,274,2020-07-30T03:34:45.407Z
2020-05-08T00:00:00.000Z,33,304,2020-07-30T03:34:45.407Z
2020-05-09T00:00:00.000Z,19,112,2020-07-30T03:34:45.407Z
2020-05-10T00:00:00.000Z,29,127,2020-07-30T03:34:45.407Z
2020-05-11T00:00:00.000Z,39,451,2020-07-30T03:34:45.407Z
2020-05-12T00:00:00.000Z,23,212,2020-07-30T03:34:45.407Z
2020-05-13T00:00:00.000Z,37,187,2020-07-30T03:34:45.407Z
2020-05-14T00:00:00.000Z,24,254,2020-07-30T03:34:45.407Z
2020-05-15T00:00:00.000Z,12,236,2020-07-30T03:34:45.407Z
2020-05-16T00:00:00.000Z,5,67,2020-07-30T03:34:45.407Z
2020-05-17T00:00:00.000Z,15,141,2020-07-30T03:34:45.407Z
2020-05-18T00:00:00.000Z,27,304,2020-07-30T03:34:45.407Z
2020-05-19T00:00:00.000Z,22,203,2020-07-30T03:34:45.407Z
2020-05-20T00:00:00.000Z,15,132,2020-07-30T03:34:45.407Z
2020-05-21T00:00:00.000Z,17,217,2020-07-30T03:34:45.407Z
2020-05-22T00:00:00.000Z,20,176,2020-07-30T03:34:45.407Z
2020-05-23T00:00:00.000Z,5,37,2020-07-30T03:34:45.407Z
2020-05-24T00:00:00.000Z,13,122,2020-07-30T03:34:45.407Z
2020-05-25T00:00:00.000Z,22,193,2020-07-30T03:34:45.407Z
2020-05-26T00:00:00.000Z,50,99,2020-07-30T03:34:45.407Z
2020-05-27T00:00:00.000Z,40,107,2020-07-30T03:34:45.407Z
2020-05-28T00:00:00.000Z,77,157,2020-07-30T03:34:45.407Z
2020-05-29T00:00:00.000Z,113,43,2020-07-30T03:34:45.407Z
2020-05-30T00:00:00.000Z,28,35,2020-07-30T03:34:45.407Z
2020-05-31T00:00:00.000Z,88,63,2020-07-30T03:34:45.407Z
2020-06-01T00:00:00.000Z,100,117,2020-07-30T03:34:45.407Z
2020-06-02T00:00:00.000Z,121,61,2020-07-30T03:34:45.407Z
2020-06-03T00:00:00.000Z,96,55,2020-07-30T03:34:45.407Z
2020-06-04T00:00:00.000Z,142,84,2020-07-30T03:34:45.407Z
2020-06-05T00:00:00.000Z,124,56,2020-07-30T03:34:45.407Z
2020-06-06T00:00:00.000Z,78,53,2020-07-30T03:34:45.407Z
2020-06-07T00:00:00.000Z,140,69,2020-07-30T03:34:45.407Z
2020-06-08T00:00:00.000Z,179,58,2020-07-30T03:34:45.407Z
2020-06-09T00:00:00.000Z,172,67,2020-07-30T03:34:45.407Z
2020-06-10T00:00:00.000Z,238,86,2020-07-30T03:34:45.407Z
2020-06-11T00:00:00.000Z,191,90,2020-07-30T03:34:45.407Z
2020-06-12T00:00:00.000Z,183,85,2020-07-30T03:34:45.407Z
2020-06-13T00:00:00.000Z,149,58,2020-07-30T03:34:45.407Z
2020-06-14T00:00:00.000Z,136,47,2020-07-30T03:34:45.407Z
2020-06-15T00:00:00.000Z,198,86,2020-07-30T03:34:45.407Z
2020-06-16T00:00:00.000Z,297,52,2020-07-30T03:34:45.407Z
2020-06-17T00:00:00.000Z,269,72,2020-07-30T03:34:45.407Z
2020-06-18T00:00:00.000Z,302,94,2020-07-30T03:34:45.407Z
2020-06-19T00:00:00.000Z,308,72,2020-07-30T03:34:45.407Z
2020-06-20T00:00:00.000Z,157,62,2020-07-30T03:34:45.407Z
2020-06-21T00:00:00.000Z,172,45,2020-07-30T03:34:45.407Z
2020-06-22T00:00:00.000Z,345,109,2020-07-30T03:34:45.407Z
2020-06-23T00:00:00.000Z,447,133,2020-07-30T03:34:45.407Z
2020-06-24T00:00:00.000Z,485,72,2020-07-30T03:34:45.407Z
2020-06-25T00:00:00.000Z,513,138,2020-07-30T03:34:45.407Z
2020-06-26T00:00:00.000Z,464,140,2020-07-30T03:34:45.407Z
2020-06-27T00:00:00.000Z,401,99,2020-07-30T03:34:45.407Z
2020-06-28T00:00:00.000Z,381,110,2020-07-30T03:34:45.407Z
2020-06-29T00:00:00.000Z,752,200,2020-07-30T03:34:45.407Z
2020-06-30T00:00:00.000Z,780,132,2020-07-30T03:34:45.407Z
2020-07-01T00:00:00.000Z,967,133,2020-07-30T03:34:45.407Z
2020-07-02T00:00:00.000Z,1144,163,2020-07-30T03:34:45.407Z
2020-07-03T00:00:00.000Z,944,148,2020-07-30T03:34:45.407Z
2020-07-04T00:00:00.000Z,821,162,2020-07-30T03:34:45.407Z
2020-07-05T00:00:00.000Z,840,172,2020-07-30T03:34:45.407Z
2020-07-06T00:00:00.000Z,1136,185,2020-07-30T03:34:45.407Z
2020-07-07T00:00:00.000Z,1386,189,2020-07-30T03:34:45.407Z
2020-07-08T00:00:00.000Z,1321,146,2020-07-30T03:34:45.407Z
2020-07-09T00:00:00.000Z,1521,211,2020-07-30T03:34:45.407Z
2020-07-10T00:00:00.000Z,1410,218,2020-07-30T03:34:45.407Z
2020-07-11T00:00:00.000Z,1162,233,2020-07-30T03:34:45.407Z
2020-07-12T00:00:00.000Z,1244,292,2020-07-30T03:34:45.407Z
2020-07-13T00:00:00.000Z,1716,353,2020-07-30T03:34:45.407Z
2020-07-14T00:00:00.000Z,1603,350,2020-07-30T03:34:45.407Z
2020-07-15T00:00:00.000Z,1880,450,2020-07-30T03:34:45.407Z
2020-07-16T00:00:00.000Z,1931,532,2020-07-30T03:34:45.407Z
2020-07-17T00:00:00.000Z,1601,509,2020-07-30T03:34:45.407Z
2020-07-18T00:00:00.000Z,1442,610,2020-07-30T03:34:45.407Z
2020-07-19T00:00:00.000Z,1007,460,2020-07-30T03:34:45.407Z
2020-07-20T00:00:00.000Z,1887,929,2020-07-30T03:34:45.407Z
2020-07-21T00:00:00.000Z,2004,1112,2020-07-30T03:34:45.407Z
2020-07-22T00:00:00.000Z,2043,1897,2020-07-30T03:34:45.407Z
2020-07-23T00:00:00.000Z,1955,3345,2020-07-30T03:34:45.407Z
2020-07-24T00:00:00.000Z,1833,706,2020-07-30T03:34:45.407Z
2020-07-25T00:00:00.000Z,1114,415,2020-07-30T03:34:45.407Z
2020-07-26T00:00:00.000Z,1044,1199,2020-07-30T03:34:45.407Z
2020-07-27T00:00:00.000Z,2055,1099,2020-07-30T03:34:45.407Z
2020-07-28T00:00:00.000Z,2104,967,2020-07-30T03:34:45.407Z
2020-07-29T00:00:00.000Z,1960,128,2020-07-30T03:34:45.407Z
2020-07-30T00:00:00.000Z,69,22,2020-07-30T03:34:45.407Z
