date,amount,lastUpdate
2020-04-28T00:00:00.000Z,510,2020-07-30T03:34:45.407Z
2020-04-29T00:00:00.000Z,433,2020-07-30T03:34:45.407Z
2020-04-30T00:00:00.000Z,408,2020-07-30T03:34:45.407Z
2020-05-01T00:00:00.000Z,651,2020-07-30T03:34:45.407Z
2020-05-02T00:00:00.000Z,269,2020-07-30T03:34:45.407Z
2020-05-03T00:00:00.000Z,152,2020-07-30T03:34:45.407Z
2020-05-04T00:00:00.000Z,369,2020-07-30T03:34:45.407Z
2020-05-05T00:00:00.000Z,362,2020-07-30T03:34:45.407Z
2020-05-06T00:00:00.000Z,222,2020-07-30T03:34:45.407Z
2020-05-07T00:00:00.000Z,274,2020-07-30T03:34:45.407Z
2020-05-08T00:00:00.000Z,304,2020-07-30T03:34:45.407Z
2020-05-09T00:00:00.000Z,112,2020-07-30T03:34:45.407Z
2020-05-10T00:00:00.000Z,127,2020-07-30T03:34:45.407Z
2020-05-11T00:00:00.000Z,451,2020-07-30T03:34:45.407Z
2020-05-12T00:00:00.000Z,212,2020-07-30T03:34:45.407Z
2020-05-13T00:00:00.000Z,187,2020-07-30T03:34:45.407Z
2020-05-14T00:00:00.000Z,254,2020-07-30T03:34:45.407Z
2020-05-15T00:00:00.000Z,236,2020-07-30T03:34:45.407Z
2020-05-16T00:00:00.000Z,67,2020-07-30T03:34:45.407Z
2020-05-17T00:00:00.000Z,141,2020-07-30T03:34:45.407Z
2020-05-18T00:00:00.000Z,304,2020-07-30T03:34:45.407Z
2020-05-19T00:00:00.000Z,203,2020-07-30T03:34:45.407Z
2020-05-20T00:00:00.000Z,132,2020-07-30T03:34:45.407Z
2020-05-21T00:00:00.000Z,217,2020-07-30T03:34:45.407Z
2020-05-22T00:00:00.000Z,176,2020-07-30T03:34:45.407Z
2020-05-23T00:00:00.000Z,37,2020-07-30T03:34:45.407Z
2020-05-24T00:00:00.000Z,122,2020-07-30T03:34:45.407Z
2020-05-25T00:00:00.000Z,193,2020-07-30T03:34:45.407Z
2020-05-26T00:00:00.000Z,99,2020-07-30T03:34:45.407Z
