,Country,Total Cases,New Cases,Total Deaths,Region,ref,date,New Deaths,Total Recovered,Serious_Critical,ActiveCases,Tot Cases/1M pop,Tot Deaths/1M pop,Deaths/1M pop,Reported1st case
261,France,11,,,Europe,https://web.archive.org/web/20200211/https://www.worldometers.info/coronavirus/,11/02/2020,,,1,,,,,
254,S. Korea,28,1,,Asia,https://web.archive.org/web/20200211/https://www.worldometers.info/coronavirus/,11/02/2020,,4,,,,,,
253,Thailand,33,1,,Asia,https://web.archive.org/web/20200211/https://www.worldometers.info/coronavirus/,11/02/2020,,10,1,,,,,
256,Malaysia,18,1,,Asia,https://web.archive.org/web/20200211/https://www.worldometers.info/coronavirus/,11/02/2020,,3,,,,,,
257,Germany,16,2,,Europe,https://web.archive.org/web/20200211/https://www.worldometers.info/coronavirus/,11/02/2020,,,,,,,,
258,Vietnam,15,1,,Asia,https://web.archive.org/web/20200211/https://www.worldometers.info/coronavirus/,11/02/2020,,6,,,,,,
259,Australia,15,,,Oceania,https://web.archive.org/web/20200211/https://www.worldometers.info/coronavirus/,11/02/2020,,5,,,,,,
255,Taiwan,18,,,Asia,https://web.archive.org/web/20200211/https://www.worldometers.info/coronavirus/,11/02/2020,,1,,,,,,
293,Canada,7,,,N.America,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,12/02/2020,,1,,,,,,
297,Russia,2,,,Europe,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,12/02/2020,,,,,,,,
294,Philippines,3,,1,Asia,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,12/02/2020,,2,,,,,,
295,Italy,3,,,Europe,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,12/02/2020,,,2,,,,,
296,India,3,,,Asia,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,12/02/2020,,,,,,,,
298,Spain,2,,,Europe,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,12/02/2020,,,,,,,,
301,Nepal,1,,,Asia,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,12/02/2020,,,,,,,,
300,Cambodia,1,,,Asia,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,12/02/2020,,1,,,,,,
302,Sri Lanka,1,,,Asia,https://web.archive.org/web/20200212/https://www.worldometers.info/coronavirus/,12/02/2020,,1,,,,,,
